87191_N2 Good 0.594028712390648 0.725133828121773 tetra
88305_N2 Good 0.00611771571739776 0.00536229285057018 Dip
88307_N7 Good 0.358265607774686 0.0396800758519969 Dip*
88308_N2 Good 0.0108634688207354 0.72774521278569 tetra
88581_N2 Good 0.21490629297624 0.160847762323777 Dip
88625_N1 Good 0.0020880136556454 0.00697362048737591 Dip
88626_N2 Good 0.812001205334209 0.416805920478135 tetra
89374_N2 1_clone 1_clone 1_clone 1_clone
89375_N1 Bad 0 0 tetra
89484_N1 Good 0.0490841492612851 0.0521004357802467 Dip*
89487_N1 Good 0.00277962585814684 0.083277967167362 Dip*
89488_N1 Bad 1.16065068822793 0.6251938441234 tetra
89489_N4 Good 0.0126484914482906 0.117457109589991 Dip
89489_N6 Good 0.013811759411374 0.0219141962466577 Dip
89489_N9 Good 0.23918522725001 0.23011792766338 Dip*
89800_N2 Good 0.00982799073263051 0 tetra
89807_N3 Good 0.184965477279833 0.0809401792177648 Dip
89807_N4 Good 0.0524538322420227 0 tetra
89807_N6 Good 2.36123721434583 1.60714891788339 tetra
89808_N1 Bad 0.0152966638082404 0 tetra
89808_N3 Good 0.00544692543610097 0.692645844762945 tetra
89985_N1 Good 0.00104172396721492 0.000541973364660429 Dip
89985_N2 Good 0.121258351073369 0.437847979871449 Dip
89985_N3 Good 0.866543732686101 1.12890664530493 tetra
89985_N4 Bad 0 0 tetra
89986_N1 Good 0.019405738191078 0.00621061616424297 Dip
89986_N2 Bad 0.0131970358959376 0 Dip*
89986_N3 Good 0.140386045602416 0.0364616121464033 tetra
89986_N4 Good 0.00652868469129975 0.0743250276376016 Dip
89995_N1 Good 0.421367759647033 0.080535309406625 Dip*
89995_N2 Good 0.0123929393394406 0.00804910883892161 Dip
90004_N1 Good 0.00038168355952279 0.000735894803262872 Dip
90004_N2 Bad 0.451123443703103 0.482061153475975 Dip
90004_N3 Bad 0 0.527054704474059 tetra
90004_N4 Good 0.00143858152313937 0.00281457790490236 Dip
90004_N5 Bad 0.0547236494149501 0 tetra
90004_N6 1_clone 1_clone 1_clone 1_clone
90022_N1 Good 0 0 Dip
90022_N2 Good 0.0051957515804048 0 Dip
90068_N2 Good 0 0.00275215866866556 Dip
90069_N3 Good 0.176608474671855 0.0801742252434587 tetra
90170_N2 Good 0.875319090227138 0.820464776506785 tetra
90170_N3 Good 0 0 Dip
90211_N1 Good 0.00523535330002383 0.0053725549280894 Dip
90211_N5 Good 0 0.918571587987316 tetra
90213_N3 Good 0.780839378129954 0.206357881072762 tetra
90302_N1 Bad 0 0 tetra
90400_N1 Good 0.00530774240512892 0.00862008480856681 tetra
90400_N4 Good 0 0.0154699941839128 Dip
90400_N5 Good 0 0 Dip
90402_N1 Bad 0 0 tetra
90446_N1 Bad 0.015406028483399 0.0322962962962963 Dip
90446_N2 Good 0.180604465312607 0.0974555010565186 tetra
90446_N3 Good 0.000567822348967761 0.0141212960267144 Dip
90446_N4 Good 0.941745814052624 0.761986915145688 tetra
90447_N1 Good 0.751347238385829 0.811806393836837 tetra
90447_N3 Bad 0.0935100460116999 0 tetra
90526_N2 Good 0 0.0142683645107746 Dip
90590_N1 Bad 0 0 tetra
90590_N2 Bad 0 0 tetra
90721_N1 Good 0.0857570474010369 0.0021539048466833 Dip
90732_N1 Bad 0.121307850260622 0.0389293640238169 tetra
90732_N2 Good 0 0.00490413893826038 Dip
90789_N1 Good 0 0 Dip
90789_N2 Good 0.00884674701689988 0.00434325076082997 Dip
90791_N2 Good 0.00531759510443094 0 Dip
90791_N3 Good 0.00677597102379077 0.00782056243884673 Dip
90793_N2 1_clone 1_clone 1_clone 1_clone
90796_N2 Good 0.409550488368435 0.271705830524367 Dip
90796_N3 Good 0.556707158090863 0.332764451413257 Dip
90797_N1 Good 0.0225273074388783 0.00492778937965953 Dip*
90797_N2 Good 0.00590213223865938 0.0695205891575352 Dip
90797_N3 Good 0.419408116318192 0.0139264368268354 Dip
90798_N1 Good 0.0300877233696913 0 Dip
90801_N1 1_clone 1_clone 1_clone 1_clone
90802_N1 Good 0.0176541990602644 0.00319788809955823 Dip
90803_N2 Bad 0 0.417421066366015 tetra
90803_N3 Good 0.0361822979560803 0.0390417635874024 Dip
90803_N4 Good 0 0 Dip
90803_N7 Good 0 0.117009485697755 Dip
90803_N8 Bad 0 0 Dip
90810_N1 Bad 0.343704910714286 0.105039408247671 tetra
90810_N2 Good 1.40616683446175 0.370326790644909 tetra
90810_N3 Bad 0 0.167577945657164 tetra
90810_N4 Good 0.812613146597772 0.486953949697184 tetra
90810_N5 Good 0.00739367167845796 0.19969433778706 tetra
90810_N6 Bad 0 0.203690296631473 tetra
90814_N1 Good 1.11086199201421 0.8294983555462 tetra
90880_N1 Good 0 0.00127272179118458 Dip
90880_N2 Bad 0.141123607731418 0.0856520715630885 Dip
90885_N1 Bad 0 0.18041345480028 tetra
90885_N2 1_clone 1_clone 1_clone 1_clone
90886_N2 Good 0 0.0241580297222281 Dip
90886_N3 Good 0 0.00172315738639179 Dip
90886_N4 Good 3.1562981670566 3.74722363491175 Symmetric
90886_N5 Good 0.00397945027043637 0.000429954224407583 Dip
90886_N6 Good 0.206016694514785 1.18366115884262 tetra
90886_N7 Good 0.0582184381580152 0.426830748163863 tetra
90887_N1 Good 0.631519290958552 0.429470101844155 tetra
90887_N2 Bad 0 0 tetra
90887_N3 Bad 0 0.326523183328025 tetra
90887_N4 Good 0.0854687442306982 0.29728370221328 Dip
90888_N1 Good 0.00181485024453996 0 Dip
