subclonal	clonal	count	prop
A2	A2	15106	0.2997698047309097
A1	A2	8978	0.17816320050801715
A3	A3	7316	0.14518177488490236
A1	A1	6190	0.12283695824734085
A2	A1	5209	0.10336958247340848
A3	A2	4284	0.08501349420542943
A2	A3	2851	0.05657644070487379
A1	A3	428	0.008493411652643277
A3	A1	30	0.000595332592474996
