subclonal	clonal	count	prop
A2	A2	11942	0.47619427386553953
A1	A1	7382	0.29436159183347954
A3	A3	4297	0.1713454023446846
A1	A2	795	0.03170109259111572
A2	A1	295	0.011763298508653002
A3	A2	182	0.007257357046016428
A2	A3	118	0.004705319403461201
A3	A1	39	0.0015551479384320918
A1	A3	28	0.0011165164686179122
