subclonal	clonal	count	prop
A2	A2	21308	0.4432241289651586
A2	A1	9290	0.19323972958918356
A1	A2	5129	0.10668746749869995
A2	A3	4860	0.10109204368174728
A3	A2	4044	0.0841185647425897
A1	A3	1889	0.03929277171086844
A3	A1	1357	0.028226729069162765
A3	A3	196	0.0040769630785231405
A1	A1	2	4.160166406656266e-05
