subclonal	clonal	count	prop
A2	A2	5038	0.23478422965793644
A3	A3	4047	0.18860098797651226
A3	A2	3514	0.1637617671730823
A1	A1	2849	0.13277099450088545
A1	A2	2196	0.10233945381675832
A2	A1	2120	0.09879765122565011
A2	A3	1630	0.07596234504613664
A3	A1	38	0.0017709012955541058
A1	A3	26	0.001211669307484388
