subclonal	clonal	count	prop
A3	A3	3985	0.2851520572450805
A1	A1	3809	0.2725581395348837
A2	A2	3786	0.270912343470483
A2	A1	810	0.057960644007155636
A3	A2	697	0.04987477638640429
A2	A3	592	0.042361359570661894
A3	A1	183	0.013094812164579606
A1	A2	62	0.0044364937388193205
A1	A3	51	0.0036493738819320214
