subclonal	clonal	count	prop
A2	A2	14820	0.6352880658436214
A3	A3	5152	0.22085048010973937
A1	A1	2911	0.12478566529492456
A3	A2	172	0.007373113854595336
A2	A3	115	0.004929698216735254
A2	A1	103	0.004415294924554184
A1	A2	49	0.002100480109739369
A1	A3	6	0.000257201646090535
