subclonal	clonal	count	prop
A3	A3	5146	0.24917683517334882
A2	A2	5051	0.24457679643618052
A1	A2	3794	0.18371102072438505
A3	A2	2601	0.1259442184776293
A1	A1	1462	0.07079217509200078
A2	A1	1415	0.06851636645361224
A2	A3	1014	0.04909936083672284
A3	A1	148	0.007166376137904319
A1	A3	21	0.0010168506682161533
