subclonal	clonal	count	prop
A2	A2	12723	0.5067107411685053
A3	A3	7662	0.3051495479708471
A1	A1	4403	0.17535545023696683
A2	A1	124	0.004938468278306583
A1	A2	95	0.003783503922896173
A3	A2	65	0.0025887132104026444
A2	A3	29	0.0011549643554104106
A3	A1	8	0.00031861085666494085
