fitness,error free replication,repair,duplex rate,MRCA 0,MRCA 1,MRCA 2,MRCA 3,MRCA 4,MRCA 5-10,MRCA 5-300,egfr_c3h_sd_mse,braf_c3h_sd_mse,hras1_c3h_sd_mse,hras0_c3h_sd_mse,b,p,q,q/p,w_prime,w_prime - e*p_prime - (1-e)*q_prime
0.05,0.0,0.8500000000000001,0.0,0.0,0.05,0.0475,0.04512499999999999,0.042868749999999976,0.21576931076162081,0.8145060315470126,0.4881615935842695,0.7042046251406892,0.5875801514462338,0.5992689793848476,0.525,0.007142857142857138,0.09523809523809523,13.333333333333341,1.0,0.0
0.1,0.0,0.8500000000000001,0.0,0.0,0.09999999999999999,0.09000000000000002,0.08100000000000002,0.07290000000000003,0.3074215599000001,0.6560999999999794,0.3295924908125011,0.5340142413831117,0.41688752679827645,0.4379694167404652,0.55,0.01363636363636363,0.18181818181818182,13.33333333333334,1.0000000000000002,2.220446049250313e-16
0.15000000000000002,0.0,0.8500000000000001,0.0,0.0,0.15000000000000002,0.1275,0.10837499999999999,0.09211874999999997,0.3251318456592771,0.5220062499999996,0.20117660161923,0.387136313252919,0.27148393145647176,0.3055935209376375,0.575,0.01956521739130434,0.26086956521739135,13.333333333333341,1.0,0.0
0.2,0.0,0.8500000000000001,0.0,0.0,0.2,0.16000000000000003,0.12800000000000003,0.10240000000000003,0.3022258176000002,0.40960000000000035,0.11391294922000754,0.26099072780464855,0.15093097760234678,0.20584499022322628,0.6,0.024999999999999988,0.33333333333333337,13.333333333333341,1.0,0.0
0.25,0.0,0.8500000000000001,0.0,0.0,0.25,0.1875,0.14062500000000003,0.10546875000000003,0.26009273529052757,0.31640625000000033,0.08250000000000002,0.1536662151029386,0.056406250000000324,0.14597873146134183,0.625,0.029999999999999985,0.4,13.333333333333341,1.0,0.0
0.3,0.0,0.8500000000000001,0.0,0.0,0.3,0.21,0.147,0.10289999999999999,0.2118524751,0.24010000000000004,0.060000000000000026,0.06450589120382731,0.0,0.13,0.65,0.03461538461538459,0.4615384615384615,13.333333333333343,1.0,0.0
0.35000000000000003,0.0,0.8500000000000001,0.0,0.0,0.35000000000000003,0.2275,0.14787499999999998,0.09611874999999996,0.16504350665537093,0.17850624999999984,0.04250000000000001,0.012728535854527788,0.0,0.13,0.675,0.03888888888888886,0.5185185185185185,13.333333333333341,1.0,0.0
0.4,0.0,0.8500000000000001,0.0,0.0,0.4,0.23999999999999996,0.144,0.0864,0.12355338240000004,0.1296,0.030000000000000054,0.010770329614268999,0.0,0.13,0.7,0.04285714285714284,0.5714285714285715,13.333333333333341,1.0,0.0
0.45,0.0,0.8500000000000001,0.0,0.0,0.44999999999999996,0.24750000000000003,0.13612499999999997,0.07486874999999996,0.08897329837880856,0.09150624999999997,0.022499999999999992,0.01,0.0,0.13,0.725,0.04655172413793101,0.6206896551724138,13.333333333333341,1.0,0.0
0.5,0.0,0.8500000000000001,0.0,0.0,0.5,0.24999999999999994,0.12499999999999997,0.062499999999999986,0.061523437499999986,0.062499999999999986,0.05385164807134506,0.01,0.0,0.13,0.75,0.04999999999999997,0.6666666666666666,13.333333333333341,1.0,0.0
0.55,0.0,0.8500000000000001,0.0,0.0,0.55,0.2475,0.111375,0.050118749999999976,0.04066574371083982,0.04100624999999998,0.10250000000000004,0.013449443819820224,0.03685650065626148,0.13,0.775,0.05322580645161287,0.7096774193548387,13.333333333333341,1.0,0.0
0.6000000000000001,0.0,0.8500000000000001,0.0,0.0,0.6000000000000001,0.2399999999999999,0.09599999999999995,0.038399999999999976,0.025495142399999983,0.02559999999999998,0.15303385246408727,0.03997399154450315,0.08972134640095418,0.1367748514895922,0.8,0.056249999999999974,0.7500000000000001,13.333333333333341,1.0,0.0
0.6500000000000001,0.0,0.8500000000000001,0.0,0.0,0.6500000000000001,0.22749999999999992,0.07962499999999996,0.027868749999999977,0.014978664526464824,0.015006249999999983,0.2050147861473961,0.08872276914989202,0.14126873244148908,0.16007712996884507,0.8250000000000001,0.05909090909090906,0.787878787878788,13.333333333333341,1.0,0.0
0.7000000000000001,0.0,0.8500000000000001,0.0,0.0,0.7000000000000001,0.21,0.06299999999999997,0.018899999999999986,0.00809409509999999,0.008099999999999991,0.25803025016458836,0.13856702349404793,0.19178847723468692,0.19369463079806834,0.8500000000000001,0.0617647058823529,0.8235294117647058,13.333333333333341,1.0,0.0
0.7500000000000001,0.0,0.8500000000000001,0.0,0.0,0.7500000000000003,0.18750000000000003,0.04687499999999998,0.011718749999999993,0.00390529632568359,0.003906249999999996,0.31222929681415656,0.18823047811293778,0.24163475229284623,0.23302952342796096,0.875,0.06428571428571425,0.8571428571428573,13.333333333333343,0.9999999999999999,-1.1102230246251565e-16
0.8,0.0,0.8500000000000001,0.0,0.0,0.8000000000000002,0.16000000000000003,0.032,0.0064,0.0015998975999999996,0.0015999999999999996,0.3679939129931365,0.23952352702813995,0.291560491150636,0.2756583392535043,0.9,0.06666666666666664,0.888888888888889,13.33333333333334,1.0,0.0
0.8500000000000001,0.0,0.8500000000000001,0.0,0.0,0.8500000000000001,0.12749999999999995,0.019124999999999982,0.002868749999999995,0.0005062442334960926,0.0005062499999999988,0.42570762973621357,0.2938585997391009,0.3417791708700591,0.3203289106771742,0.925,0.06891891891891888,0.918918918918919,13.333333333333341,1.0,0.0
0.9000000000000001,0.0,0.8500000000000001,0.0,0.0,0.9000000000000001,0.08999999999999991,0.008999999999999979,0.0008999999999999968,9.999989999999951e-05,9.999999999999952e-05,0.48567254400470294,0.3513684960266076,0.3945400106453084,0.36630017745013455,0.9500000000000001,0.07105263157894733,0.9473684210526316,13.333333333333343,1.0,0.0
0.9500000000000001,0.0,0.8500000000000001,0.0,0.0,0.9499999999999998,0.04749999999999991,0.002374999999999992,0.00011874999999999946,6.2499999023437126e-06,6.249999999999963e-06,0.5482350360617468,0.41189717134938536,0.45045466449535726,0.4145015437433555,0.9750000000000001,0.07307692307692304,0.9743589743589743,13.33333333333334,1.0000000000000002,2.220446049250313e-16
1.0,0.0,0.8500000000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6135959582656979,0.47549973711874965,0.5096076922496363,0.4676537180435968,1.0,0.07499999999999996,1.0,13.333333333333341,1.0,0.0
0.05,0.05,0.8500000000000001,0.0,0.0,0.049616419919246306,0.047491777002018835,0.045142632623417514,0.04288731868167938,0.21586350419663528,0.8148616332252743,0.4884820329211205,0.704673802082063,0.5880273850668275,0.599700483917026,0.525,0.0067870844911970245,0.09490011121901812,13.982456140350887,0.9501918287675841,-1.1102230246251565e-16
0.1,0.05,0.8500000000000001,0.0,0.0,0.09921581769436998,0.09002519185656838,0.0810722863047713,0.07296842519969239,0.3077112494342577,0.656718278944577,0.3300968607368355,0.5348840387406986,0.4176980883281125,0.4387222467924931,0.55,0.012959757153132499,0.18120923598327382,13.982456140350886,0.950382191229717,0.0
0.15000000000000002,0.05,0.8500000000000001,0.0,0.0,0.14879839786381843,0.12760296228304405,0.10853482603419141,0.09225925244333259,0.3256290644187884,0.5228045613756132,0.20166819060091118,0.38835337798166913,0.2725611714289898,0.30650274512417097,0.575,0.018598130298286823,0.26004754118832646,13.982456140350887,0.9505711041346602,-1.1102230246251565e-16
0.2,0.05,0.8500000000000001,0.0,0.0,0.19836436170212768,0.16022776263297878,0.12827553870761305,0.1026261006786152,0.30289448157574367,0.4105062362786657,0.11393232442310407,0.2625161701406699,0.15205337221951348,0.20655490116911857,0.6,0.023768964599414414,0.3323485050128649,13.982456140350886,0.950758583976577,-1.1102230246251565e-16
0.25,0.05,0.8500000000000001,0.0,0.0,0.24791390728476825,0.1879022247516557,0.14103914461209133,0.10578579068308348,0.26087585517996115,0.31735893266840187,0.08209777524834433,0.15546498521940222,0.05735893266840186,0.14641456829914945,0.625,0.028528339410009925,0.3988962545575075,13.982456140350887,0.9509446470003313,-1.1102230246251565e-16
0.3,0.05,0.8500000000000001,0.0,0.0,0.2974472295514512,0.21062893881926117,0.14756980863837807,0.10330581324416967,0.21268912507600468,0.24104820974673974,0.05937106118073884,0.06627830241495726,0.0,0.13,0.65,0.032923706857137025,0.4603542871076882,13.982456140350887,0.9511293092061814,0.0
0.35000000000000003,0.05,0.8500000000000001,0.0,0.0,0.34696452036793685,0.22841045417214176,0.14861115122828708,0.09660447512145735,0.16587853886468013,0.17940939911017623,0.04158954582785826,0.013196663422109008,0.0,0.13,0.675,0.036995489469336416,0.5172878088958094,13.982456140350882,0.9513125863543654,0.0
0.4,0.05,0.8500000000000001,0.0,0.0,0.3964659685863875,0.24124928010471203,0.14490625906413612,0.08695104157004255,0.12434222614329583,0.1304274506747219,0.02875071989528799,0.011138733231585077,0.0,0.13,0.7,0.040778335455839365,0.5701812869877894,13.982456140350886,0.9514944939695856,0.0
0.45,0.05,0.8500000000000001,0.0,0.0,0.4459517601043025,0.2491478866525424,0.1371976955073287,0.07546587551914774,0.08968360824458048,0.09223678221667869,0.020852113347457624,0.01,0.0,0.13,0.725,0.044302114272975146,0.619452369746688,13.982456140350887,0.9516750473453927,-1.1102230246251565e-16
0.5,0.05,0.8500000000000001,0.0,0.0,0.4954220779220779,0.25210870535714275,0.12622751079291797,0.06312057349721138,0.06213486436315087,0.06312113243064976,0.04881868071503824,0.01,0.0,0.13,0.75,0.04759271307742353,0.6654630232053784,13.982456140350884,0.9518542615484711,1.1102230246251565e-16
0.55,0.05,0.8500000000000001,0.0,0.0,0.5448771021992238,0.2501341300129366,0.1127372519867804,0.05073809839183801,0.04116869955182227,0.04151341740922114,0.09693460327491346,0.01311571896885988,0.03234821125063311,0.13,0.775,0.05067267902734415,0.7085285120139178,13.982456140350886,0.95203215142283,1.1102230246251565e-16
0.6000000000000001,0.05,0.8500000000000001,0.0,0.0,0.5943170103092785,0.24322651739690718,0.09746797271182345,0.03899290913026557,0.025889112444764717,0.025995590451725392,0.14683410411459877,0.035616609891492484,0.08438374106926924,0.1351805484652394,0.8,0.05356174115215704,0.7489246964608629,13.982456140350886,0.9522087315939034,1.1102230246251565e-16
