fitness,error free replication,repair,duplex rate,MRCA 0,MRCA 1,MRCA 2,MRCA 3,MRCA 4,MRCA 5-10,MRCA 5-300,egfr_c3h_sd_mse,braf_c3h_sd_mse,hras1_c3h_sd_mse,hras0_c3h_sd_mse,b,p,q,q/p,w_prime,w_prime - e*p_prime - (1-e)*q_prime
0.3,0.0,0.0,0.0,0.0,0.3,0.21000000000000005,0.14700000000000002,0.10290000000000002,0.21185247510000002,0.24010000000000006,0.05999999999999997,0.06450589120382734,0.0,0.13,0.65,0.23076923076923075,0.4615384615384615,2.0,1.0,0.0
0.35000000000000003,0.0,0.0,0.0,0.0,0.35000000000000003,0.2275,0.14787499999999998,0.09611874999999998,0.16504350665537096,0.17850624999999984,0.04250000000000001,0.012728535854527788,0.0,0.13,0.675,0.25925925925925924,0.5185185185185185,2.0,1.0,0.0
0.4,0.0,0.0,0.0,0.0,0.4,0.24,0.144,0.08639999999999999,0.1235533824,0.12959999999999997,0.030000000000000027,0.010770329614268999,0.0,0.13,0.7,0.28571428571428575,0.5714285714285715,2.0,1.0,0.0
0.45,0.0,0.0,0.0,0.0,0.45,0.24749999999999997,0.13612499999999997,0.07486874999999997,0.08897329837880857,0.09150624999999996,0.022500000000000048,0.01,0.0,0.13,0.725,0.3103448275862069,0.6206896551724138,2.0,1.0,0.0
0.5,0.0,0.0,0.0,0.0,0.5,0.25,0.125,0.0625,0.0615234375,0.0625,0.053851648071345036,0.01,0.0,0.13,0.75,0.3333333333333333,0.6666666666666666,2.0,1.0,0.0
0.3,0.05,0.0,0.0,0.0,0.28500000000000003,0.20913750000000003,0.14984165625000004,0.10612089210937502,0.22041680231336583,0.2498999516406251,0.060862499999999986,0.07942204629134715,0.0,0.13,0.65,0.22178988326848245,0.45525291828793774,2.0526315789473686,0.961089494163424,-1.1102230246251565e-16
0.35000000000000003,0.05,0.0,0.0,0.0,0.3325000000000001,0.22778437500000004,0.15195116015625001,0.10006698095214843,0.1734907155065419,0.18769748389160146,0.04221562499999998,0.017380491573652387,0.0,0.13,0.675,0.24953095684802998,0.5121951219512195,2.0526315789473686,0.9624765478424014,0.0
0.4,0.05,0.0,0.0,0.0,0.38,0.24180000000000001,0.14935800000000002,0.09094098000000002,0.13143795955054277,0.13790102000000004,0.028200000000000003,0.013695698740845613,0.0,0.13,0.7,0.2753623188405797,0.5652173913043479,2.0526315789473686,0.9637681159420288,0.0
0.45,0.05,0.0,0.0,0.0,0.4275,0.25118437499999996,0.14274840234375,0.07982751142089842,0.09599099353073862,0.09873971123535151,0.018815625000000058,0.010370810741843204,0.0,0.13,0.725,0.29947460595446584,0.6147110332749562,2.0526315789473686,0.9649737302977233,1.1102230246251565e-16
0.5,0.05,0.0,0.0,0.0,0.47500000000000003,0.25593750000000004,0.13280859375,0.067674755859375,0.0674999553574639,0.068579150390625,0.0286836871104466,0.01,0.0,0.13,0.75,0.3220338983050847,0.6610169491525424,2.0526315789473686,0.9661016949152542,0.0
0.35000000000000003,0.1,0.0,0.0,0.0,0.315,0.22776249999999998,0.15592740624999993,0.10405232414062493,0.1822652097942658,0.1972577696093748,0.04223750000000004,0.0260098612403603,0.0,0.13,0.675,0.23954372623574147,0.5057034220532319,2.1111111111111107,0.9239543726235743,0.0
0.4,0.1,0.0,0.0,0.0,0.35999999999999993,0.2432,0.154624,0.09555968000000001,0.13970750831415263,0.14661632000000002,0.026800000000000018,0.017716133212414043,0.0,0.13,0.7,0.26470588235294124,0.5588235294117647,2.1111111111111107,0.9264705882352942,0.0
0.45,0.1,0.0,0.0,0.0,0.40499999999999997,0.2543624999999999,0.14930409374999992,0.08491515539062496,0.10343484999605111,0.10641825085937491,0.015637500000000137,0.013658922377288312,0.0,0.13,0.725,0.2882562277580072,0.608540925266904,2.1111111111111107,0.9288256227758008,0.0
0.5,0.1,0.0,0.0,0.0,0.45,0.2612499999999999,0.14059374999999996,0.07303828124999998,0.07392494204679279,0.07511796875,0.008750000000000091,0.01001761144497529,0.0,0.13,0.75,0.3103448275862069,0.6551724137931034,2.111111111111111,0.9310344827586208,0.0
0.35000000000000003,0.15000000000000002,0.0,0.0,0.0,0.2975000000000001,0.22743437500000013,0.1597956992187501,0.10806933310058597,0.19137703518961036,0.20720059268066407,0.042565624999999885,0.04168923062061249,0.0,0.13,0.675,0.22928709055876678,0.49903660886319845,2.176470588235295,0.8843930635838148,-2.220446049250313e-16
0.4,0.15000000000000002,0.0,0.0,0.0,0.34,0.24420000000000003,0.15978600000000004,0.10024938000000003,0.14837771310885622,0.15576462000000008,0.02579999999999999,0.022169478929374976,0.0,0.13,0.7,0.2537313432835821,0.5522388059701493,2.1764705882352944,0.8880597014925373,0.0
0.45,0.15000000000000002,0.0,0.0,0.0,0.38249999999999995,0.2570343749999999,0.15577498828124997,0.0901241213818359,0.11132706467613775,0.11456651533691399,0.012965625000000092,0.018677533436553487,0.0,0.13,0.725,0.27667269439421344,0.6021699819168174,2.1764705882352935,0.8915009041591321,1.1102230246251565e-16
0.5,0.15000000000000002,0.0,0.0,0.0,0.42500000000000004,0.26593750000000005,0.14833203125000005,0.07858295898437503,0.08082763984603963,0.08214750976562502,0.004062499999999969,0.013016249258176382,0.0,0.13,0.75,0.2982456140350877,0.6491228070175439,2.1764705882352944,0.8947368421052632,0.0
0.35000000000000003,0.2,0.0,0.0,0.0,0.2800000000000001,0.2268,0.16354799999999994,0.11211227999999997,0.20083617416152275,0.2175397199999998,0.043200000000000016,0.06052882686520841,0.0,0.13004840754119215,0.675,0.21875,0.4921875,2.25,0.84375,0.0
0.4,0.2,0.0,0.0,0.0,0.3200000000000001,0.2448000000000001,0.1648320000000001,0.10500288000000003,0.15746435660847413,0.16536512000000012,0.025199999999999917,0.026769912663286818,0.0,0.1300897698668116,0.7,0.24242424242424243,0.5454545454545455,2.2500000000000004,0.8484848484848484,-1.1102230246251565e-16
0.45,0.2,0.0,0.0,0.0,0.3600000000000001,0.25920000000000015,0.1621440000000001,0.09544608000000004,0.11969021909189094,0.12320992000000003,0.010799999999999865,0.02429725778765998,0.0,0.1300176785518031,0.725,0.2647058823529411,0.5955882352941176,2.2500000000000004,0.8529411764705881,-1.1102230246251565e-16
0.5,0.2,0.0,0.0,0.0,0.39999999999999997,0.2699999999999999,0.15599999999999994,0.08429999999999999,0.0882381087,0.08969999999999999,1.1102230246251565e-16,0.018867962264113147,0.0,0.13,0.75,0.2857142857142857,0.6428571428571428,2.25,0.8571428571428572,0.0
0.55,0.2,0.0,0.0,0.0,0.44000000000000006,0.27720000000000006,0.146916,0.07232148,0.06300360267928538,0.06356251999999998,0.0,0.012158579522296167,0.0,0.13,0.775,0.3055555555555556,0.6875,2.25,0.8611111111111112,0.0
