s,efr,repair,duplex rate,r-u,MRCA 0,MRCA 1,MRCA 2,MRCA 3,MRCA 4,MRCA 5-300,egfr_c3h_sd_mse,braf_c3h_sd_mse,hras1_c3h_sd_mse,hras0_c3h_sd_mse,MRCA 0 all 4,MRCA 1 all 4,MRCA 2 all 4,MRCA 3 all 4
0.4,0.05,0.2,0.05,0.15,0.04038037154435662,0.337046101994142,0.2292982385748104,0.14781527103478714,0.09412992015407455,0.15133009669782932,0.04070176142518961,0.00781527103478713,0.0,0.08961962845564339,0.16375198728139906,0.16947215542487085,0.176944075033247,0.17736156351791532
0.4,0.05,0.3,0.05,0.25,0.045256003624830086,0.3366017217942909,0.22789306751246036,0.1470140462165836,0.09296782963298596,0.1502673312188491,0.04210693248753966,0.00701404621658358,0.0,0.08474399637516991,0.1659991990388466,0.16901787637303467,0.17818514394782886,0.17653948098378844
0.4,0.05,0.4,0.05,0.35,0.052942213739666205,0.33666642463721513,0.2269959650232867,0.1440974203118031,0.0918501768543778,0.14744779943365108,0.04300403497671332,0.004097420311803074,0.0,0.0770577862603338,0.16614420062695925,0.17084142095695845,0.1784865655273259,0.17866397926864383
0.4,0.05,0.5,0.05,0.45,0.06161916503493123,0.3331278555370223,0.22415210191698698,0.1441245437184229,0.09038605651848092,0.14659027727415572,0.04584789808301304,0.004124543718422885,0.0,0.06838083496506878,0.16771282856021968,0.16926091215848482,0.1788083041251011,0.18030862126803085
0.4,0.05,0.6,0.05,0.55,0.07157809635179811,0.3345749057992984,0.22071116115899345,0.14129383400464868,0.08893123709703034,0.14291076558823104,0.04928883884100657,0.001293834004648664,0.0,0.05842190364820189,0.17022993142396128,0.17065803667745416,0.17549712192569336,0.18810667211607235
0.4,0.15,0.2,0.05,0.15,0.03984770475489984,0.3104053995586899,0.2306840306321118,0.15502963700082203,0.09986587634664475,0.16416735170683167,0.039315969367888226,0.01783105005334421,0.0,0.09015229524510016,0.15656894679695982,0.15992975022301517,0.17183690310964403,0.174871623130163
0.4,0.15,0.3,0.05,0.25,0.044957900920305466,0.31336401018210297,0.22960642255727434,0.1539651458782064,0.09824750342666928,0.15985901703544156,0.040393577442725676,0.0154616189405514,0.0,0.08504209907969454,0.15309233449477352,0.16168338176023994,0.1739297288077776,0.17773114587307642
0.4,0.15,0.4,0.05,0.35,0.052472601509162775,0.3158911246855911,0.23031575637800933,0.15065801293568093,0.09627650017966223,0.15438600431189364,0.03968424362199069,0.011422613365009803,0.0,0.07752739849083723,0.15450460089878024,0.1653277406512157,0.17736824143142704,0.1785794141760453
0.4,0.15,0.5,0.05,0.45,0.06121646593187686,0.3169731203229231,0.22768436365542638,0.14821173479417585,0.09390194356709435,0.15201237172850346,0.04231563634457364,0.00875183345987453,0.0,0.06878353406812315,0.1607792763862128,0.1651782022657736,0.17838024520808152,0.17932620037138564
0.4,0.15,0.6,0.05,0.55,0.07066018503998746,0.3221734357848518,0.223255449270817,0.14408028853692958,0.09140661753175475,0.1484240238356594,0.046744550729183015,0.004080288536929572,0.0,0.059339814960012546,0.16200621393697293,0.1695302993429058,0.17728454028236285,0.184915106660862
0.4,0.25,0.2,0.05,0.15,0.03947827234259111,0.28362344381720683,0.23267583334118688,0.16169222214892234,0.10570262654440245,0.17682760180569038,0.037324166658813135,0.04235335100648005,0.0,0.09053754356002491,0.14132251133922177,0.15314836351553415,0.16930616873911458,0.1762545899632803
0.4,0.25,0.3,0.05,0.25,0.04397425480049609,0.289612111362956,0.232572809305906,0.16057605953042808,0.10268143523072318,0.17058332976949064,0.03742719069409403,0.036698746594633284,0.0,0.08602767392945462,0.14344760515438854,0.15700679267572357,0.1731715165724268,0.17824089486650244
0.4,0.25,0.4,0.05,0.35,0.05111460276932142,0.29640086418540706,0.23271629185898066,0.15705096729843857,0.09930766964548758,0.16340960424236473,0.03728370814101936,0.029114510076730195,0.0,0.07888539723067858,0.14721421709894333,0.16056489687732958,0.17459647642156345,0.1790683132718462
0.4,0.25,0.5,0.05,0.45,0.060246488965319575,0.30047291487532246,0.2315419891086271,0.15343938091143594,0.09620235024362281,0.15809687589567212,0.03845801089137291,0.023704936463721463,0.0,0.06975351103468043,0.1522359657469077,0.1623980540849907,0.1770130593550783,0.18212384421406558
0.4,0.25,0.6,0.05,0.55,0.07007497592516164,0.30791718255606,0.22460104553583712,0.14862773421378456,0.09542234144999312,0.15335672031916356,0.045398954464162894,0.014846961812010213,0.0,0.059925024074838365,0.15116564417177913,0.168770244610745,0.17686241482275478,0.18500520652551197
0.4,0.35,0.2,0.05,0.15,0.03928366911343641,0.2574105887865063,0.23302618564214692,0.16842105263157894,0.11073975740538289,0.1911187464209485,0.0369738143578531,0.06963344850509809,0.0,0.09110634893872278,0.12483434932414524,0.1452898111070663,0.1665251776060051,0.17995796241345202
