Sample	Ncl	subsets_fit	o_e_11	o_e_33	o_e_31	o_e_13	Mixture_tumours
93100_N3	2	Good	0.002057824847422956	0.004188180656218539	2.6101743467361667	7.184135025143968	Symmetric
93100_N4	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
93100_N6	2	Good	2.80680805085567	2.8072799938548294	0.032506641709938416	0.04450851521164021	one_tumour
93129_N10	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
93129_N1	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
93129_N2	2	Good	3.132490683229814	1.8287308871878238	0.03633606133606134	0.02501113646093568	one_tumour
93129_N3	2	Bad	2.940468108969629	2.4470535853400963	0.04450950667762702	0.013042645862250513	one_tumour
93129_N4	2	Good	3.7121424103762717	2.1969658976930795	0.12015782611780566	0.06841846861907042	one_tumour
93129_N6	2	Good	7.085182864984188	2.064552406936864	0.03428101930603953	0.019596500432737366	one_tumour
93129_N7	2	Good	5.931658083114695	2.5547399126083326	0.002721792160655368	0.004175741304082807	one_tumour
93129_N8	2	Good	4.272441741586652	3.48401277997042	0.013883464860895174	0.010519302920859779	one_tumour
93129_N9	2	Good	2.6052734227259426	2.3671349897581537	0.10476518483598866	0.03619439469389068	one_tumour
93131_N1	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
93131_N2	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
93131_N3	2	Good	3.354191199694134	2.808461805492736	0.029968827035698913	0.019754533768359884	one_tumour
93131_N4	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
93131_N5	2	Good	2.2295830129946888	2.4663903340302427	0.03418833677612804	0.001981568642961674	one_tumour
93131_N6	2	Good	3.435943654754988	2.8352302386594856	0.016957221343536333	0.0	one_tumour
93131_N7	2	Good	2.7494532144757655	2.911956005785036	0.026783354533133533	0.014363584696065513	one_tumour
93131_N8	2	Good	5.89119489184022	5.121958333333334	0.023522291466922342	0.01198514908922149	one_tumour
93132_N1	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
93132_N2	2	Good	2.1596795992255355	2.4684766626894277	0.02513651058827169	0.0021353078207192924	one_tumour
93133_N1	2	Good	4.385547057905415	2.026980709854687	0.0	0.010733350227664739	one_tumour
93133_N4	2	Good	3.7589822193554947	3.4148784107180106	0.020730791731828336	0.002514133294332928	one_tumour
93241_N1	2	Good	0.005339590934467183	0.0015350439904091668	4.789332774729689	3.5696319724786534	Symmetric
93241_N2	2	Good	2.3743399158357175	3.2363807728557967	0.011561826376641193	0.08917789862334335	one_tumour
93242_N1	2	Bad	0.0	0.0033222083285216666	2.516635800164762	6.360814029896811	Symmetric
93242_N2	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
93243_N1	2	Good	4.803801182478166	2.0331018137957866	0.0013066720973449076	0.008266462568409086	one_tumour
93243_N2	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
93244_N1	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
93244_N2	2	Bad	0.0	0.0	0.0	11.646369260827091	mixture_tumours
93244_N3	2	Good	5.246608422103358	2.906707161788702	0.004675913906540033	0.0	one_tumour
93244_N4	2	Good	0.008012408336360155	0.03237734472783336	3.4238862237981023	3.175585914488514	Symmetric
93244_N5	2	Good	3.6914931783738614	3.3814143929126925	0.0007415288792521823	0.0	one_tumour
93244_N6	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
93244_N8	2	Bad	0.0	0.0	0.0	23.40717526265521	mixture_tumours
93256_N1	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
93258_N10	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
93258_N11	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
93258_N12	2	Good	7.716403501558847	4.2679354313316455	0.0	0.009090953806871064	one_tumour
93258_N1	2	Good	8.016515430336103	3.3578712788308427	0.0	0.0	one_tumour
93258_N2	2	Good	2.9679620248294474	1.8381257866148877	0.012192766795946209	0.09544423962167695	one_tumour
93258_N3	2	Good	3.529684524407727	3.8149969098088294	0.0008845592231468308	0.0	one_tumour
93258_N4	2	Good	3.2194898571698167	5.518604571601722	0.01723953828909697	0.0	one_tumour
93258_N5	2	Good	3.2888150342429774	3.98432761419916	0.0	0.0	one_tumour
93258_N6	2	Bad	2.84248922509553	2.823532049525423	0.021159721457668174	0.0905436247008908	one_tumour
93258_N7	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
93258_N8	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
93258_N9	2	Good	3.149366040033119	4.092573718974495	0.0015907511297178051	0.005412184703982045	one_tumour
93259_N1	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
93259_N2	2	Good	5.65806601291557	2.789705251210646	0.004009800812890952	0.012383758551504373	one_tumour
93259_N3	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
93260_N1	2	Good	0.001183031791533279	0.2670166874454922	1.2056620836186762	1.7133060748915463	mixture_tumours
93260_N2	2	Good	2.2790559278258486	2.7648896091407713	0.016922027051122255	0.005001262303937401	one_tumour
93260_N3	2	Good	3.617797629030905	4.685656429969847	0.0	0.0	one_tumour
93260_N4	1	1_clone	1_clone	1_clone	1_clone	1_clone	1_clone
93260_N5	2	Good	2.777197322929552	3.0526290256448316	0.0	0.0	one_tumour
