# drivers,s,efr,repair,duplex rate,MRCA 0,MRCA 1,MRCA 2,MRCA 3,MRCA 4,MRCA 5-300,egfr_c3h_sd_mse,braf_c3h_sd_mse,hras1_c3h_sd_mse,hras0_c3h_sd_mse,MRCA 0 all 4,MRCA 1 all 4,MRCA 2 all 4,MRCA 3 all 4
2,0.5,0.35,0.2,0.05,0.005641370047011417,0.25480188045668234,0.27508394895903293,0.19986568166554736,0.12222968435191403,0.14237743451981194,0.0,0.08862106007226771,0.0,0.13059227166430296,0.16666666666666666,0.17395888244596733,0.2373046875,0.23790322580645162
2,0.5,0.35,0.3,0.05,0.006984459577440196,0.27274314649903963,0.28426750480181595,0.1966125371049415,0.1107036843024271,0.1286886677143356,0.0,0.07380571146130697,0.0,0.1283483582236842,0.175,0.19526248399487836,0.24877149877149876,0.2344582593250444
2,0.5,0.45,0.2,0.05,0.005622763673538933,0.2138354063724655,0.27364116544556144,0.2162208212642699,0.1337536207190322,0.15692622252513205,0.0,0.1307658010802404,0.006164593627534493,0.13649350775709929,0.21212121212121213,0.1601593625498008,0.23723536737235368,0.23877068557919623
2,0.5,0.45,0.3,0.05,0.00727352876350011,0.22636103151862463,0.2889574608772317,0.21269561384174565,0.12232752920432004,0.14238483579457792,0.0,0.11857631439494007,0.0,0.13356127605081425,0.18181818181818182,0.18500486854917234,0.2540045766590389,0.24870466321243523
2,0.6,0.35,0.2,0.05,0.007120345511847788,0.30909303139955646,0.31457919925294736,0.19353332555153496,0.09664993580016341,0.07902416248395004,0.0,0.05470896927039315,0.0,0.1273730482075109,0.21311475409836064,0.2639728096676737,0.312430426716141,0.3323281061519904
2,0.6,0.35,0.3,0.05,0.009471432936144211,0.32401466544454627,0.32538955087076077,0.18744271310724106,0.08249312557286893,0.07118851206843874,0.0,0.04744565744214084,0.0,0.12361325973030857,0.22580645161290322,0.28854314002828857,0.3389671361502347,0.3374083129584352
2,0.6,0.45,0.2,0.05,0.007214369846878681,0.254416961130742,0.31802120141342755,0.21687279151943462,0.10865724381625441,0.09481743227326266,0.0,0.10108571016057136,0.0,0.135317498452019,0.30612244897959184,0.234375,0.3060185185185185,0.31907671418873046
2,0.6,0.45,0.2,0.15,0.04011681524746388,0.2888871810636336,0.29488164770980635,0.18913310790039964,0.10013833384568091,0.08684291423301568,0.0,0.0581555654612646,0.0,0.0944866386172927,0.19348659003831417,0.24980047885075818,0.31873859786291375,0.34335635920357577
2,0.6,0.45,0.3,0.05,0.00865717583686033,0.26856483262793385,0.3324355521354367,0.20757983839938438,0.09772989611388996,0.08503270488649481,0.0,0.08493770762984174,0.0,0.130337722851054,0.26666666666666666,0.27363896848137537,0.3454861111111111,0.3345690454124189
2,0.6,0.45,0.4,0.05,0.01204510507432086,0.3111225012813942,0.31727319323423886,0.19528446950281908,0.09226037929267042,0.07201435161455663,0.0,0.055992700878837585,0.0,0.12311925529755034,0.3191489361702128,0.30230642504118616,0.3392568659127625,0.34908136482939633
