# drivers,s,efr,repair,duplex rate,MRCA 0,MRCA 1,MRCA 2,MRCA 3,MRCA 4,MRCA 5-300,egfr_c3h_sd_mse,braf_c3h_sd_mse,hras1_c3h_sd_mse,hras0_c3h_sd_mse,MRCA 0 all 4,MRCA 1 all 4,MRCA 2 all 4,MRCA 3 all 4
2,0.5,0.15,0.3,0.05,0.0074599927806521475,0.3754060883166887,0.2700036096739261,0.16508242088797978,0.0854289495848875,0.09661893875586572,0.0,0.025210701582385663,0.0,0.12264536017069866,0.22580645161290322,0.23173076923076924,0.2611408199643494,0.26676384839650147
2,0.5,0.25,0.2,0.05,0.00598669623059867,0.3138580931263858,0.2776053215077605,0.18259423503325942,0.10299334811529934,0.11696230598669623,0.0,0.04322150489349235,0.0,0.1260547459183508,0.2777777777777778,0.1978099611444719,0.24161341853035143,0.2459016393442623
2,0.5,0.25,0.3,0.05,0.0071633237822349575,0.31991404011461316,0.28065902578796564,0.1815186246418338,0.09727793696275072,0.11346704871060172,0.0,0.04161550568256761,0.0,0.1247072581316107,0.16,0.20868786386027766,0.2450229709035222,0.2517758484609313
2,0.5,0.25,0.3,0.15,0.04256348246674728,0.3351068117694478,0.2709391374445788,0.1618702136235389,0.09076985086658605,0.09875050382910117,0.0,0.021870213623538887,0.0,0.08745651660877239,0.18371212121212122,0.21409670435410152,0.24814043439452543,0.25796812749003983
2,0.5,0.25,0.4,0.05,0.011492087415222306,0.34419743782969103,0.2733609645817634,0.17426525998492842,0.09495101733232857,0.10173323285606632,0.0,0.03426525998492841,0.0,0.11936340723873004,0.19672131147540983,0.21237000547345375,0.2412129565816678,0.252972972972973
2,0.5,0.25,0.4,0.15,0.049954678215328834,0.34041696041897473,0.2727364286433679,0.16043911773592506,0.08530567025883774,0.09114714472756572,0.0,0.02043911773592505,0.0,0.08004652624566264,0.20161290322580644,0.21893491124260356,0.24630723781388478,0.26051475204017577
2,0.5,0.35,0.2,0.05,0.005641370047011417,0.25480188045668234,0.27508394895903293,0.19986568166554736,0.12222968435191403,0.14237743451981194,0.0,0.08862106007226771,0.0,0.13059227166430296,0.16666666666666666,0.17395888244596733,0.2373046875,0.23790322580645162
2,0.5,0.35,0.3,0.05,0.006984459577440196,0.27274314649903963,0.28426750480181595,0.1966125371049415,0.1107036843024271,0.1286886677143356,0.0,0.07380571146130697,0.0,0.1283483582236842,0.175,0.19526248399487836,0.24877149877149876,0.2344582593250444
2,0.5,0.35,0.3,0.15,0.03911957828539721,0.2927032275964117,0.2779987052621844,0.1753444927402201,0.10219180615925275,0.1126421899565338,0.0,0.044658111813160775,0.0,0.09216672126358144,0.1702127659574468,0.20979462875197472,0.24916833000665337,0.24261603375527427
2,0.5,0.35,0.4,0.05,0.0106333795654184,0.30097087378640774,0.2787794729542302,0.18839574664817382,0.10656495607951919,0.11465557096625058,0.0,0.052002460884914385,0.0,0.12269763038331566,0.21739130434782608,0.20353302611367127,0.2429519071310116,0.2552147239263804
2,0.5,0.35,0.4,0.15,0.04727061556329849,0.30441347270615565,0.2732868757259001,0.1753774680603949,0.09581881533101046,0.10383275261324042,0.0,0.038658829256018795,0.0,0.08414640558707195,0.21621621621621623,0.21900038153376575,0.2456438589035274,0.24900662251655628
2,0.5,0.35,0.5,0.05,0.011406844106463879,0.3358681875792142,0.27281368821292773,0.17807351077313055,0.10012674271229405,0.10171102661596958,0.0,0.03807351077313054,0.0,0.11996244585892299,0.2222222222222222,0.22075471698113208,0.24854819976771197,0.2597864768683274
2,0.5,0.35,0.6,0.05,0.022829006266786033,0.35810205908683973,0.279319606087735,0.1575649059982095,0.0828111011638317,0.09937332139659803,0.0,0.01756490599820948,0.0,0.10717099373321397,0.17647058823529413,0.23,0.27884615384615385,0.3125
2,0.5,0.45,0.2,0.05,0.005622763673538933,0.2138354063724655,0.27364116544556144,0.2162208212642699,0.1337536207190322,0.15692622252513205,0.0,0.1307658010802404,0.006164593627534493,0.13649350775709929,0.21212121212121213,0.1601593625498008,0.23723536737235368,0.23877068557919623
2,0.5,0.45,0.3,0.05,0.00727352876350011,0.22636103151862463,0.2889574608772317,0.21269561384174565,0.12232752920432004,0.14238483579457792,0.0,0.11857631439494007,0.0,0.13356127605081425,0.18181818181818182,0.18500486854917234,0.2540045766590389,0.24870466321243523
2,0.6,0.15,0.4,0.15,0.06494829207145096,0.4467251645252272,0.272563459730492,0.12817298652460044,0.04998433093074271,0.03760576621748668,0.0,0.012394233782513323,0.024531924784059196,0.06509575300913707,0.33172496984318456,0.3391792353560154,0.357286576602472,0.386919315403423
2,0.6,0.25,0.2,0.05,0.007823819182845552,0.3790205737467401,0.3058050806529508,0.16681155220708974,0.08142567371776296,0.059113300492610835,0.0,0.026899722948432923,0.0008866995073891631,0.12236591193030814,0.25925925925925924,0.28312945973496434,0.32533164876816173,0.3364215402431963
2,0.6,0.25,0.2,0.15,0.04318418314255983,0.39172158631055615,0.2878367441322696,0.14839865880448608,0.07382356341773616,0.055035264192392186,0.0,0.008398658804486064,0.004964735807607812,0.08681581685744016,0.2797858099062918,0.2948642266824085,0.3342036553524804,0.3494351382937281
2,0.6,0.25,0.3,0.05,0.009794073329984932,0.3834756403817177,0.3159216474133601,0.1661225514816675,0.06793068809643395,0.05675539929683576,0.0,0.02612336313926274,0.0032446007031642354,0.12036174825600827,0.23076923076923078,0.3048461034708579,0.34181240063593005,0.3492063492063492
2,0.6,0.25,0.3,0.15,0.050763574660633484,0.40094739819004527,0.29100678733031676,0.14430147058823528,0.06356052036199095,0.04942024886877828,0.0,0.004340364108644104,0.01057975113122172,0.07923642533936652,0.27298050139275765,0.3137012872509258,0.34742468415937805,0.35521803037726607
2,0.6,0.25,0.4,0.05,0.013746273600529976,0.40493540907585296,0.30208678370321296,0.15882742630009938,0.06724080821464061,0.05316329910566413,0.0,0.01882742630009937,0.00683670089433587,0.11625372639947003,0.2891566265060241,0.3210633946830266,0.3508771929824561,0.3587069864442127
2,0.6,0.25,0.4,0.15,0.06223479490806223,0.4051449787835926,0.28836633663366334,0.14011669024045262,0.05816831683168317,0.04596888260254597,0.0,0.004032805981481565,0.014150170269301791,0.06776520509193777,0.296875,0.320532402356535,0.34702636419374616,0.3741324921135647
2,0.6,0.25,0.5,0.05,0.015096890491212258,0.4238395673726904,0.298783235691753,0.1534474988733664,0.06286615592609283,0.04596665164488508,0.0,0.014039342039529428,0.014033348355114918,0.11490310950878775,0.3283582089552239,0.3264221158958001,0.3597285067873303,0.37298091042584436
2,0.6,0.25,0.5,0.15,0.07386300145267628,0.424963683093083,0.27444407196334786,0.13342272879651357,0.053413789250195555,0.03989272544418371,0.0,0.010107274555816295,0.021158465495016807,0.05613710104496447,0.2950075642965204,0.33000262950302395,0.36359934853420195,0.39782244556113905
