# drivers,s,efr,repair,duplex rate,MRCA 0,MRCA 1,MRCA 2,MRCA 3,MRCA 4,MRCA 5-300,egfr_c3h_sd_mse,braf_c3h_sd_mse,hras1_c3h_sd_mse,hras0_c3h_sd_mse,MRCA 0 all 4,MRCA 1 all 4,MRCA 2 all 4,MRCA 3 all 4
4,0.6,0.15,0.2,0.05,0.013668190012997359,0.23277849985325563,0.21600771456123433,0.16120917361955472,0.11160957611840175,0.2647268458345562,0.05399228543876569,0.12343442606722647,0.0047268458345561815,0.11726650034826272,0.08588957055214724,0.18695965417867436,0.17313664596273293,0.17607282184655396
4,0.6,0.15,0.2,0.15,0.035449504703756775,0.26571553174257057,0.227992025418977,0.15756027661827923,0.10164475733599153,0.21163790418042489,0.04200797458102301,0.06523897446950017,0.0,0.09455049529624324,0.1265377855887522,0.21289566236811255,0.21464680967345265,0.20838275998418349
4,0.6,0.15,0.3,0.05,0.01389988128215275,0.23585278986941036,0.21018005540166204,0.1559161060546102,0.10803324099722991,0.2761179263949347,0.059819944598337976,0.12873512022430125,0.0161179263949347,0.11900161194483651,0.08896797153024912,0.16526845637583892,0.16074370440103553,0.15894670050761422
4,0.6,0.15,0.3,0.15,0.03479083455959638,0.26105388550206715,0.22608787050662182,0.15356317006516712,0.10244551888445098,0.22205872048209657,0.043912129493378194,0.07367183970290946,0.0,0.09520916544040361,0.11178247734138973,0.20198631056234062,0.19804741980474197,0.1943874058863792
4,0.6,0.15,0.4,0.05,0.014461315979754157,0.22613882863340565,0.20583273077850084,0.15431429260062665,0.11219570980959268,0.28705712219812,0.06416726922149918,0.14309453475345854,0.02705712219812001,0.12133597080312422,0.10416666666666667,0.14841460165201173,0.1592505854800937,0.1585318235064428
4,0.6,0.15,0.4,0.15,0.039185832198092796,0.25318535139033577,0.21448032694927477,0.14776825066111066,0.1061783796778588,0.2392018591233272,0.05551967305072525,0.08960693673385467,0.0,0.09081416780190721,0.12576687116564417,0.19101123595505617,0.18382215580048572,0.17245119305856832
4,0.6,0.15,0.5,0.05,0.015032323389672093,0.2318716410935431,0.20570137861204144,0.15094633538437574,0.10764078199236701,0.28880753952800065,0.06429862138795858,0.140447536681958,0.028807539528000636,0.1213408084256664,0.12435233160621761,0.1420893516963386,0.13517606967057932,0.13828689370485037
4,0.6,0.15,0.5,0.15,0.040060683639121984,0.2531171478689613,0.21514246432465747,0.14602000663727302,0.10074432276110558,0.24491537476888067,0.054857535675342545,0.09340001215460003,0.0,0.08993931636087801,0.13136094674556212,0.17437722419928825,0.16571176729836934,0.1616883116883117
4,0.6,0.15,0.6,0.05,0.018187585915195092,0.23834196891191708,0.2005921539600296,0.14867294067886222,0.10722216347678969,0.2869831870572063,0.06940784603997041,0.13486532635973777,0.026983187057206315,0.11776999646930535,0.06976744186046512,0.13842058562555457,0.11860832894043226,0.13513513513513514
4,0.6,0.15,0.6,0.15,0.045359990754651566,0.25938980700335146,0.20449555067606612,0.14347625101120998,0.1016988327747602,0.2455795677799607,0.0655044493239339,0.08936643400287596,0.0,0.08464000924534844,0.09171974522292993,0.1697482735575852,0.1542808703023453,0.16592831252517115
