simulation,clone id,clone fitness,"birth, death rates",clone proportion,clone size
143,BBABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.2091601270837023,24910726
143,BBABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.22407659628690887,26687260
143,BBBBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.041499686294142205,4942564
143,BBBBB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.10737501967693587,12788239
144,BAAAB,1.0,"(0.5, 0.5, 0.0)",1.0,4
146,BBABB,1.0,"(0.5, 0.5, 0.0)",1.0,4
156,AAABA,1.0,"(0.5, 0.5, 0.0)",1.0,22
160,ABABA,1.0,"(0.5, 0.5, 0.0)",1.0,2
161,ABBAB,1.0,"(0.5, 0.5, 0.0)",1.0,6
163,BAAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",1.0,108890357
164,AABAB,1.0,"(0.5, 0.5, 0.0)",1.0,2
169,BABBB,1.0,"(0.5, 0.5, 0.0)",1.0,4
172,BABAB,1.0,"(0.5, 0.5, 0.0)",1.0,6
174,ABBAB,1.0,"(0.5, 0.5, 0.0)",1.0,12
177,BABAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.06282226740894938,8976800
177,BABBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.04932538249917111,7048203
177,BABBB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.07372049055591345,10534069
177,BBAAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.1379305892465967,19709179
177,BBAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.06936237421086297,9911329
177,BBBAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.2132773148986939,30475624
177,BBBAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.12053257645779199,17223142
177,BBBBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.11057092072937402,15799701
177,BBBBB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.1624580839926465,23213962
185,BABBA,1.0,"(0.5, 0.5, 0.0)",1.0,2
197,ABABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.8449624104596845,119610736
197,ABABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.15503758954031557,21946728
198,ABBBA,1.0,"(0.5, 0.5, 0.0)",1.0,6
205,BBAAA,1.0,"(0.5, 0.5, 0.0)",1.0,8
206,AAABB,1.0,"(0.5, 0.5, 0.0)",1.0,2
215,BBAAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.08123865898279962,9329878
215,BBAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.1536211347546854,17642665
215,BBBAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.27193573044670927,31230540
215,BBBAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.27009764910009637,31019445
215,BBBBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.22310682671570933,25622770
217,ABBAA,1.0,"(0.5, 0.5, 0.0)",1.0,2
221,ABABB,1.0,"(0.5, 0.5, 0.0)",1.0,6
224,BAABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.24417737760368513,37649819
224,BBAAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.12775421164710676,19698479
224,BBAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.08032212267988302,12384904
224,BBABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.10873693102400825,16766196
224,BBABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.021995759568684565,3391536
224,BBBAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.15138876275519197,23342701
224,BBBBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.10546884918233618,16262289
224,BBBBB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.017714508603765836,2731408
224,BAAAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.08875962983621158,13685887
224,BAABAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.009753120438129348,1503838
224,BAAAAAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.0237717061680222,3665370
224,BAABAAAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.010855912493722778,1673878
224,BAAAAAAABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.00930110799925238,1434142
231,BABAA,1.0,"(0.5, 0.5, 0.0)",1.0,6
232,AAABA,1.0,"(0.5, 0.5, 0.0)",1.0,12
241,ABAAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.4730228092806081,62371922
241,ABAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.2762382641894696,36424272
241,ABABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.05950023422894463,7845592
241,ABBAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.1912382600183212,25216327
241,BABAA,1.0,"(0.5, 0.5, 0.0)",4.322826564330447e-07,57
245,ABABB,1.0,"(0.5, 0.5, 0.0)",1.0,6
248,ABBAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.2655771522085893,39763307
248,ABBBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.37047446181118465,55468965
248,BBBBA,1.0,"(0.5, 0.5, 0.0)",2.6715801299785178e-08,4
248,AAAAAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.36394835926442476,54491850
250,AAAAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.03546557806981197,5126675
250,AAAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.010403383814650715,1503846
250,AAABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.14834947941504636,21444443
250,AAABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.11234131347205158,16239335
250,AABBB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.09264804327453915,13392603
250,ABAAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.022950858956456995,3317628
250,ABAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.13368621387795238,19324816
250,ABBAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.09942621676574045,14372412
250,ABBAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.03668938756700424,5303581
250,ABBBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.150294952298091,21725668
250,ABBBB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.08987557579356201,12991833
250,AABBAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.06786899669509314,9810704
254,BBAAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.19892093222940413,25383482
254,BBAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.39561714734994946,50483077
254,BBBAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.222231667101691,28358069
254,BBBAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.13403104200043686,17103150
254,BBBBB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.04919921131851856,6278109
258,AABBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.17820948966092764,22740580
258,AABBB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.32837270274215485,41902290
258,ABAAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.0410501280399391,5238238
258,ABAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.1266653943638196,16163250
258,ABABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.04123917887894937,5262362
258,ABBBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.28446310631420946,36299167
259,AAAAB,1.0,"(0.5, 0.5, 0.0)",1.0,16
265,BBAAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.20027604506723803,21829427
265,BBAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.28097178542890683,30624996
265,BBBAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.3526918224447081,38442243
265,BBBAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.16606034705914707,18100029
266,BBAAABAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.7507383819897472,91557951
266,BBAAABABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.16924662914530672,20640845
266,BBAAABABBB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.08001498886494607,9758404
269,BAABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.3221956026561621,34261713
269,BAABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.18550705922448085,19726494
269,BABAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.08647930496573297,9196057
269,BABAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.4058180331536241,43153975
271,BABAA,1.0,"(0.5, 0.5, 0.0)",1.0,12
272,ABABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.2663648614291252,36255706
272,ABABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.7336351385708748,99857240
274,ABABB,1.0,"(0.5, 0.5, 0.0)",1.0,10
280,BBABB,1.0,"(0.5, 0.5, 0.0)",1.0,8
282,ABBAA,1.0,"(0.5, 0.5, 0.0)",1.0,2
293,BBAABA,1.0,"(0.5, 0.5, 0.0)",1.0,2
300,BAABB,1.0,"(0.5, 0.5, 0.0)",1.0,12
304,BAABA,1.0,"(0.5, 0.5, 0.0)",1.0,12
306,AABAB,1.0,"(0.5, 0.5, 0.0)",1.0,12
307,BBBBB,1.0,"(0.5, 0.5, 0.0)",1.0,4
308,AAABA,1.0,"(0.5, 0.5, 0.0)",1.0,8
318,AAAAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.2342942235634221,31890477
318,AAAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.42917411397443417,58416153
318,AAABBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.3365316624621438,45806316
322,AAABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.04163870062479243,5257996
322,AAABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.18180892796664821,22958224
322,ABAAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.09037656753335548,11412451
322,ABAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.08992019657409529,11354822
322,ABABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.1531359013861778,19337490
322,ABABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.16839255305289633,21264049
322,ABBAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.048536895484382434,6129077
322,ABBAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.04370493362514445,5518913
322,ABBBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.10580686174156698,13360937
322,ABBBB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.0766784620109406,9682700
324,BBBAB,1.0,"(0.5, 0.5, 0.0)",1.0,4
326,BBABB,1.0,"(0.5, 0.5, 0.0)",1.0,12
327,BAAAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.34338177516841367,43817536
327,BAABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.18919348916872464,24142203
327,BABBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.1499923824047397,19139911
327,BABBB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.10431548506849062,13311270
327,BABABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.2131168681896314,27194967
332,BABAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.4002718808241211,43585748
332,BABAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.5997281191758789,65304609
334,ABABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.2284465206575135,28179417
334,ABABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.2865828555948643,35350671
334,ABBAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.10249106871552467,12642515
334,ABBBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.3824795550320976,47179755
336,ABABB,1.0,"(0.5, 0.5, 0.0)",1.0,6
340,AAAAB,1.0,"(0.5, 0.5, 0.0)",1.0,8
345,AABBA,1.0,"(0.5, 0.5, 0.0)",1.0,4
346,BAABB,1.0,"(0.5, 0.5, 0.0)",1.0,2
351,AAAAB,1.0,"(0.5, 0.5, 0.0)",1.0,8
360,BBBAB,1.0,"(0.5, 0.5, 0.0)",1.0,22
364,ABABB,1.0,"(0.5, 0.5, 0.0)",1.0,8
371,BAABB,1.6,"(0.8, 0.19999999999999996, 0.0)",1.0,121957200
381,BABAB,1.0,"(0.5, 0.5, 0.0)",1.0,4
382,AABAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.2664731075713977,28336281
382,AABAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.23898284604844736,25413015
382,AABBB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.08876861314207019,9439498
382,ABAAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.27110083137637814,28828385
382,ABABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.1346746018617066,14321060
383,BAAAA,1.0,"(0.5, 0.5, 0.0)",1.0,6
399,ABABA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.22525291005871495,34492317
399,ABABB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.1271650965164127,19472418
399,ABBAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.25717356366753324,39380233
399,ABBAB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.09704810184927139,14860691
399,ABBBA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.2848729778762494,43621763
399,ABBBB,1.6,"(0.8, 0.19999999999999996, 0.0)",0.008487350031818346,1299643
405,AAAAA,1.0,"(0.5, 0.5, 0.0)",1.0,8
408,AAAAA,1.6,"(0.8, 0.19999999999999996, 0.0)",0.13154412873058768,13988171
