sample	n_biallelic	n_multi
CPCT02010440T	21574	0
CPCT02290049T	5759	0
CPCT02380018T	17258	0
CPCT02020566T	628	0
CPCT02070099T	1646	0
CPCT02010393T	175243	3
CPCT02010481T	34787	1
CPCT02020752T	8185	0
CPCT02140102T	4587	0
WIDE01010840T	16549	1
DRUP01070006T	1800	0
CPCT02120097T	22630	0
WIDE01010121T	15155	1
CPCT02110074T	9290	0
WIDE01010658T	21960	0
WIDE01010273T	9125	0
CPCT02010454T	3656	0
DRUP01340002T	5225	0
CPCT02070404T	14765	1
CPCT02270006T	13704	0
CPCT02050251T	3546	0
CPCT02130122T	8447	0
CPCT02010123T	25359	0
CPCT02011042T	7343	1
CPCT02020680T	43285	0
WIDE01011003T	13330	0
CPCT02140010T	9269	0
CPCT02380014T	14038	0
CPCT02040215TII	9239	0
CPCT02060231T	48920	0
WIDE01010834T	8615	0
CPCT02010427T	8328	1
CPCT02380030T	11285	0
WIDE01010265T	9266	0
CPCT02080027T	8877	0
CPCT02030477T	1814	0
CPCT02230090T	20714	0
CPCT02340018T	16247	1
CPCT02010406TII	4446	2
CPCT02290048T	4267	0
GAYA01330005T	5678	0
CPCT02020704T	66043	1
WIDE01010270T	48423	2
CPCT02010979T	32282	1
CPCT02050161T	27660	0
CPCT02070392T	7978	1
WIDE01010079T	6207	0
CPCT02230030T	37812	2
CPCT02220031T	14956	0
CPCT02010728T	17075	1
CPCT02050364T	10001	0
CPCT02130203T	4643	0
CPCT02300023T	7014	0
CPCT02230095T	2521	0
CPCT02060136T	44093	4
ACTN01020165T	56773	4
DRUP01090023T	11367	0
WIDE01010368T	17592	1
WIDE01010661T	16813	0
WIDE01010090T	9833	0
CPCT02080057T	5114	0
CPCT02010691T	11086	0
WIDE01010773T	16701	5
CPCT02040315T	44688	0
CPCT02070218T	34765	0
WIDE01010078T	7755	1
COREDB011218T	5983	0
DRUP01070024T	10378	1
CPCT02220067T	23593	0
CPCT02330111T	11238	0
WIDE01010575T	11864	1
WIDE01010962T	4689	0
CPCT02320003T	11158	0
CPCT02020918T	6459	0
CPCT02030216TII	5362	0
CPCT02060104T	1972	0
CPCT02120165T	3939	0
WIDE01010303T	5879	0
WIDE01010622T	34193	1
OPTC01040029T	31284	1
WIDE01010936T	4283	0
CPCT02020665T	45061	0
CPCT02230099T	29608	1
CPCT02050395T	15935	0
OPTC01070019T	4341	0
CPCT02160019T	9820	0
CPCT02170029T	8003	1
WIDE01010200T	26608	1
COREDB011171T	3512	0
CPCT02030497T	61543	2
CPCT02010276T	2645	0
CPCT02030239T	22998	0
CPCT02020559T	15498	0
CPCT02040225T	63314	4
CPCT02011089TII	9713	1
GLOW01200003T	655808	24
CPCT02040183T	4986	2
CPCT02050347T	18817	0
CPCT02040235T	13161	0
CPCT02040151T	17890	0
CPCT02010769T	19967	2
WIDE01011024T	6779	0
CPCT02230074T	2410	0
OPTC01030053T	15458	0
WIDE01010668T	3618	0
CPCT02210009T	17051	0
WIDE01011042T	2438	0
CPCT02070416T	4149	0
CPCT02050383T	64076	1
WIDE01010518T	15499	1
WIDE01010304T	1835	0
COREDB011315T	3092	0
WIDE01010409T	2315	0
CPCT02080223T	10434	0
CPCT02020760T	4117	0
WIDE01011027T	14425	0
DRUP01360013T	13767	2
CPCT02340036T	28829	0
CPCT02020285T	10762	0
CPCT02050391T	6729	0
OPTC01070009T	20194	0
CPCT02020295T	21735	0
GAYA01280003T	12988	0
CPCT02210071T	7450	0
CPCT02070478T	6269	0
WIDE01010011T	6012	0
CPCT02020852T	10361	0
ACTN01020172T	6150	0
WIDE01011062T	29198	2
CPCT02080248T	4344	0
CPCT02010450T	80373	0
ACTN01020018T	3898	0
CPCT02110029T	11310	0
CPCT02011069T	56218	1
WIDE01010701T	11947	1
CPCT02140022T	58042	1
CPCT02330099T	10488	0
DRUP01010274T	57278	1
CPCT02330047T	5101	0
CPCT02050106T	7234	0
CPCT02210034T	6827	0
CPCT02020937T	2534	0
CPCT02010373T	143609	8
CPCT02020223TII	11834	3
CPCT02030300T	7735	0
CPCT02010966TII	11162	2
CPCT02010252T	3721	0
CPCT02330027T	8109	0
CPCT02090037T	23867	0
OPTC01440009T	28762	3
CPCT02020723T	3702	0
CPCT02060120T	22727	0
CPCT02050421T	113422	0
CPCT02050163T	25474	0
CPCT02020414T	8549	0
CPCT02100125T	3785	0
CPCT02050304T	324050	3
CPCT02020964T	43221	1
WIDE01010867T	2021	1
DRUP01070260T	27372	0
WIDE01010886T	4594	0
CPCT02030376T	15015	0
WIDE01010241T	17446	0
CPCT02010833T	26668	1
ACTN01020249T	8182	0
CPCT02020958TII	30377	0
ACTN01020051T	7727	0
ACTN01020080T	14842	0
CPCT02040228T	3797	0
DRUP01020022T	5196	0
CPCT02130050T	19972	0
WIDE01010412T	21579	0
CPCT02010604T	9113	0
CPCT02080205T	140539	1
CPCT02080103T	16696	0
DRUP01010051TII	15196	0
CPCT02070187T	4466	0
CPCT02010647T	4921	0
CPCT02050004T	8212	3
WIDE01010113T	4796	0
ACTN01020196T	23584	0
WIDE01011104T	9461	1
CPCT02040257T	11165	0
CPCT02010545T	37832	1
CPCT02210017T	7068	0
CPCT02040063T	18921	0
WIDE01010046T	2640	1
WIDE01010187T	9655	0
DRUP01070146T	54650	23
CPCT02050052T	33105	0
WIDE01010902TII	4845	0
DRUP01010382T	4614	1
CPCT02210035T	8036	0
CPCT02340099T	9443	0
CPCT02020684T	3830	0
CPCT02260028T	4824	0
WIDE01011126T	41798	1
WIDE01011033T	16207	1
CPCT02380029T	99696	0
CPCT02070243T	79611	0
CPCT02080127T	4347	0
CPCT02100081T	8905	0
CPCT02140050T	7024	0
CPCT02230109T	14765	0
CPCT02050028T	7532	0
CPCT02020731T	7226	0
CPCT02080107T	1828	0
CPCT02020423T	168348	1
WIDE01010879T	13032	0
CPCT02230102T	3722	0
CPCT02050278T	12904	0
OMIC01130105T	16653	1
WIDE01011077T	11356	0
CPCT02010173T	3304	0
DRUP01070149T	8994	1
OPTC01440013T	64622	15
CPCT02440037T	5996	0
CPCT02340115T	131475	2
CPCT02140026T	5894	0
CPCT02070257T	4814	0
CPCT02010695T	5959	0
WIDE01010521T	13962	0
CPCT02080280T	116606	0
ACTN01020228T	3858	0
WIDE01010146T	3581	0
WIDE01010341T	11775	0
CPCT02130120T	6943	0
CPCT02011087T	46999	0
WIDE01010929T	18234	0
DRUP01050103T	16619	0
WIDE01010381T	132576	2
CPCT02290006T	9770	1
WIDE01010258T	13860	0
CPCT02030521T	67717	6
COREDB110014T	2741	0
CPCT02100107T	8858	0
WIDE01010293T	1111	1
CPCT02030545T	7892	0
DRUP01010110T	20715	0
CPCT02040021TII	17479	0
WIDE01010896T	2714	0
CPCT02020597T	6359	0
OPTC01030061T	27923	2
CPCT02070223T	6097	0
WIDE01010205T	18160	1
WIDE01010678T	10041	0
WIDE01011057T	5480	0
CPCT02020689T	3883	0
ACTN01020102T2	100207	2
CPCT02030482T	9445	0
CPCT02040117T	72906	1
CPCT02011022T	9261	0
GLOW01440011T	7560	0
CPCT02020509T	10436	0
CPCT02010548T	2783	0
CPCT02010035T	41082	1
CPCT02090006T	3155	0
DRUP01010230T	4694	0
CORE01080020T	45445	0
ACTN01020120T	6950	0
DRUP01010077T	15051	1
CPCT02290053T	2013	0
WIDE01010414T	17314	1
CPCT02300030T	8710	0
GAYA01340002T	10110	1
CPCT02020607T	492	0
CPCT02070132T	6031	0
WIDE01011081T	4823	0
CPCT02070040T	13253	0
DRUP01050094T	2917	0
DRUP01010051T	97225	1
CORE01070012T	365461	19
WIDE01010138T	4788	0
CPCT02010263T	161892	2
CPCT02180020T	21177	0
WIDE01011115T	55716	0
WIDE01010111T	18633	0
WIDE01010009T	11031	1
CPCT02070351T	3546	0
CPCT02180053T	17849	0
WIDE01010745T	7717	0
CPCT02340046T	2605	0
CPCT02030271T	10025	0
ACTN01020148T	17283	0
WIDE01010465T	2045	0
ACTN01020180T	67424	0
CPCT02020692T	6856	0
CPCT02140042T	7893	1
CPCT02350014T	8360	0
COREDB110021T	24597	0
WIDE01010556T	49804	8
CPCT02090014T	6273	0
CPCT02060128T	7846	0
CPCT02210036T	8016	0
CPCT02020854T	25588	0
CPCT02030250T	6982	1
CPCT02040306T	3402	0
CPCT02050136T	23996	2
GAYA01150002T	5239	0
CPCT02100159T	8085	0
CPCT02020330T	12389	0
CPCT02010576T	10431	0
WIDE01010920T	18415	0
CPCT02040047T	33615	2
CPCT02220026T	20457	0
ACTN01020283T	4352	0
CPCT02020577T	6132	0
WIDE01011209T	954	0
CPCT02020916T	29101	0
WIDE01010528T	18921	1
CPCT02020671T	288938	20
CPCT02130131T	70475	6
CPCT02010344TII	5804	0
CPCT02130093T	6242	0
DRUP01270004T	31938	0
CPCT02010858T	4921	0
CPCT02180012T	35356	0
CPCT02130010T	9181	0
DRUP01060021T	212492	1
WIDE01010214T	4924	0
ACTN01020219T	3679	0
GAYA01410001T	18548	0
CPCT02410004T	10855	0
WIDE01010272T	6484	0
CPCT02050181T	14061	0
WIDE01010179T	13890	0
CPCT02330103T	48536	0
CPCT02060015T	19986	0
DRUP01010116TII	68724	0
CPCT02110057T	3488	0
CPCT02050462T	7395	0
CPCT02080192T	6418	0
WIDE01010615T	12618	0
CPCT02120041T	9031	0
ACTN01020033T	9118	0
DRUP01010057T	5259	3
CPCT02020506T	227472	0
CPCT02060286T	135351	1
DRUP01050099T	6937	1
CPCT02240010T	22500	1
WIDE01010403T	16885	0
CPCT02020539T	9045	0
CPCT02020696T	4275	0
CPCT02340018TII	18428	4
CPCT02010851T	3232	1
CPCT02050235T	198356	5
CPCT02120079T	8643	0
CPCT02070265T	8694	1
CPCT02220038T	10578	0
CPCT02290013T	6489	0
CPCT02120085T	6814	0
WIDE01010276T	104167	2
CPCT02360014T	21164	1
CPCT02040191T	4240	0
CPCT02020517T	96899	0
CPCT02030425T	15815	0
WIDE01011170T	2767	0
CPCT02030324T	17683	0
OPTC01080038T	35441	1
CPCT02060291T	264826	2
CPCT02330006T	5060	0
CPCT02350031T	21473	1
CPCT02080135T	10873	0
CPCT02020413T	8820	0
CPCT02180049T	4692	0
CPCT02250007T	7233	0
WIDE01010991T	8083	0
CPCT02190027T	16986	0
CPCT02130035T	6994	0
WIDE01010983T	16459	0
CPCT02040219T	3489	0
CPCT02160057T	17155	1
CPCT02010408T	7622	0
CPCT02120152T	5763	0
CPCT02070058T	12700	1
CPCT02080001TII	4112	0
CPCT02020924T	4627	0
CPCT02070068T	4857	0
CPCT02070263T	9970	1
CPCT02340031T	12924	3
CPCT02010050T	78886	6
CPCT02060096T	11779	0
CPCT02010614T	11721	0
CPCT02050029T	8855	0
CPCT02020419T	7842	0
CPCT02030520T	6361	1
CPCT02160052T	10747	1
CPCT02290033T	21908	0
WIDE01010890T	20871	0
ACTN01020030T	10072	0
CPCT02030384T	2975	0
CPCT02380039T	16176	0
CPCT02130137T	12987	0
WIDE01010296T	11780	0
CPCT02070122T	28541	0
CPCT02140041TIII	9837	0
CPCT02050138T	22625	3
OPTC01030057T	47964	3
CPCT02030560T	3217	0
CPCT02050224T	21030	3
CPCT02090059T	26978	1
CPCT02080216T	15506	0
CPCT02010393TII	170984	3
CPCT02011047T	21942	0
CPCT02040309T	11794	0
CPCT02120160T	13138	0
WIDE01010755T	24807	3
CPCT02130167T	9628	0
CPCT02090043T	2191	0
WIDE01010534T	40319	3
CPCT02070128T	2621	1
CPCT02080185T	7770	0
CPCT02150034T	10390	0
WIDE01010034T	2903	0
CPCT02050074T	3679	0
WIDE01010429T	14943	0
CPCT02070446T	5337	0
CPCT02100007T	3367	0
CPCT02020919T	78260	0
CPCT02180068T	32959	0
CPCT02030315T	8559	0
CPCT02020436T	115764	15
CPCT02060088T	2271	0
CPCT02010797T	75977	3
CPCT02180076T	5167	0
CPCT02010572T	4153	0
CPCT02011056T	15392	0
CPCT02070313T	3680	0
WIDE01010718T	10703	1
DRUP01030077T	18289	1
WIDE01010130TII	6785	0
CPCT02020848T	1616	1
CPCT02140089T	3400	0
WIDE01010970T	26296	1
WIDE01010483T	1433	0
CPCT02210025T	37144	10
CPCT02100173T	18793	0
CPCT02290037T	8225	0
CPCT02100013TII	21957	0
CPCT02080224T	7709	1
CPCT02450004T	14589	0
CPCT02080093T	8442	0
CPCT02340112T	3663	0
OPTC01040025T	16244	0
CPCT02150031T	4760	0
CPCT02040202T	9332	0
CPCT02270026T	116208	1
CPCT02050037T	81717	1
CPCT02010240T	7612	0
DRUP01100007T	9448	0
CPCT02120110T	19204	0
CPCT02050333T	6091	0
WIDE01010922T	39422	0
CPCT02050057T	16276	0
CPCT02010595T	5134	0
CPCT02100091T	43564	3
CPCT02030556T	45848	0
CPCT02010903T	6849	0
WIDE01010729T	12864	7
CPCT02040140T	8970	0
CPCT02020643T	79394	1
DRUP01330020T	356423	36
CPCT02011106T	9253	1
CPCT02020712T	36770	3
WIDE01011021T	83467	2
CPCT02010656T	1666	0
CPCT02070190T	13670	0
CPCT02020719T	34292	2
CPCT02040330T	36168	0
CPCT02011094T	2240	0
CPCT02040313T	20985	1
CPCT02020910T	82906	2
WIDE01010517T	4366	6
DRUP01070030T	21351	0
CPCT02020428T	860	0
CPCT02030373T	16835	2
WIDE01010733T	2544	0
ACTN01020012T	13261	0
CPCT02020750T	2113	0
CPCT02070276T	66404	0
CPCT02050380T	37911	3
CPCT02020369T	17676	0
CPCT02080290T	26336	1
WIDE01010353T	9801	0
CPCT02050086T	4572	0
CPCT02050351T	18803	1
CPCT02070110T	10494	3
CPCT02080243T	20203	1
WIDE01010342T	7068	0
WIDE01010536T	1119	0
WIDE01011012T	16107	0
CPCT02130084T	6484	0
CPCT02020506TII	230243	0
CPCT02070336T	25318	1
WIDE01010031T	18418	0
GAYA01150003T	13330	1
WIDE01010472T	13938	0
CPCT02330135T	5138	0
CPCT02070162T	23265	0
CPCT02160042T	4902	0
COREDB110028T	9596	0
ACTN01020020T	7368	0
CPCT02120153T	11556	1
CPCT02120077T	32461	0
WIDE01011146T	4473	2
CPCT02390032T	166329	1
WIDE01010208T	4962	0
CPCT02450002T	31408	1
CPCT02080312T	2793	0
CPCT02140061T	10583	0
DRUP01340001T	38043	2
CPCT02040302T	6053	0
CPCT02010333TII	7145	0
CPCT02020268T	89851	0
WIDE01011208T	15102	1
CPCT02170016T	12410	1
CPCT02020342T	100946	3
CPCT02080317T	14501	0
CPCT02010599T	3827	0
CPCT02080112T	12852	0
CPCT02230125T	3987	0
CPCT02050432T	32670	1
CPCT02230101T	11514	1
CPCT02070449T	4816	0
ACTN01020072T	2767	0
CPCT02030365T	1937	0
CPCT02050211T	99978	1
CPCT02180032T	4030	0
CPCT02040343T	7142	0
CPCT02220069T	8455	0
CPCT02380026T	13854	1
CPCT02130184T	15903	0
CPCT02020837T	3044	0
CPCT02040241T	74301	0
DRUP01100003T	56878	6
CPCT02010436T	82082	0
CPCT02050390T	21770	3
CPCT02030442T	24263	0
CPCT02440027T	7950	1
CPCT02290032T	6613	0
WIDE01010881T	3318	0
CPCT02090033T	11951	0
CPCT02160026T	45755	0
CPCT02080088T	22187	0
DRUP01210002T	43473	0
CPCT02100161T	13811	0
ACTN01020115T	4062	0
CPCT02030428T	2529	0
WIDE01010815T	3741	0
CPCT02010291TII	6422	0
DRUP01010020T	72612	0
OPTC01030066T	19989	2
CPCT02040141T	4015	0
CPCT02040107T	6049	0
CPCT02020420T	4800	0
CPCT02050104T	86740	12
CPCT02020347T	3486	0
CPCT02140085TII	8555	1
CPCT02010790T	12899	0
CPCT02020541T	11640	0
CPCT02380049T	3712	0
CPCT02050210T	3677	0
WIDE01010569T	5373	0
CPCT02010532T	149814	2
CPCT02070271T	3287	0
CPCT02070171T	10448	0
DRUP01010142T	45528	0
CPCT02120052T	11571	3
GLOW01020001T	8444	0
