sample	n_biallelic	n_multi
CPCT02020499T	3496	0
ACTN01020229T	102781	2
CPCT02010238T	4434	0
CPCT02070415T	3884	0
CPCT02020294T	65139	3
CPCT02010754TII	79696	0
CPCT02080323T	11084	1
CPCT02150012T	47255	2
CPCT02100037T	4220	0
CPCT02050442T	6439	2
CPCT02020949T	157634	1
WIDE01010434T	14531	0
OPTC01070011T	18610	0
CPCT02070311T	4831	0
CPCT02070169T	3429	0
CPCT02030450T	1559	0
CPCT02030509T	9135	0
CPCT02090053T	5297	0
DRUP01050048T	101450	3
WIDE01011140T	18151	1
CPCT02050409T	14509	0
DRUP01060002T	12041	1
CPCT02020406T	7750	0
CPCT02010680T	2295	0
DRUP01040016T	114163	0
CPCT02170037T	24829	0
ACTN01020220T	22290	0
CPCT02300021T	8471	0
CPCT02040250T	4071	0
CPCT02230011T	2390	0
CPCT02020966T	8223	0
CPCT02130195T	5947	0
CPCT02160009T	1667	0
CPCT02120124T	14557	0
CPCT02011045T	35017	0
CPCT02040267T	5032	0
CPCT02010523T	16376	0
CPCT02100104T	2520	0
CPCT02020326T	10290	0
DRUP01030015T	21736	0
CPCT02070355T	3395	0
CPCT02120051T	23546	1
CPCT02390001T	5897	1
CPCT02010810T	4046	0
CPCT02060279T	7242	0
CPCT02010743T	27389	0
CPCT02190026T	6894	0
ACTN01020122T	12985	0
CPCT02340012T	28255	2
WIDE01011063T	2679	0
CPCT02050344T	14492	0
CPCT02010692T	5548	0
CPCT02010518T	2442	0
CPCT02160022T	2548	0
CPCT02140004T	10949	0
CPCT02190031T	12741	0
CPCT02160012T	23409	0
CPCT02010811T	33366	0
CPCT02020938T	6457	0
DRUP01010186T	40390	1
CPCT02050412T	12077	0
CPCT02050407T	5914	0
CPCT02030394T	4156	0
OPTC01080013T	26777	0
CPCT02050049T	2986	0
CPCT02010606T	72390	1
CPCT02010746T	44022	0
CPCT02120150T	20359	0
CPCT02080206T	2214	0
CPCT02300028T	2856	0
WIDE01010541T	10733	0
CPCT02050396T	355064	16
CPCT02010860T	9050	0
CPCT02330071T	8480	0
WIDE01010343T	7346	0
CPCT02060124T	6421	0
WIDE01010969T	4177	0
CPCT02080071T	19765	0
CPCT02070025T	1558	0
CPCT02080302T	9521	0
CPCT02020714T	27852	1
OPTC01040021T	8411	0
CPCT02070447T	7597	0
CPCT02210024T	19858	0
CPCT02050019T	27415	0
CPCT02090012T	7881	1
CPCT02010870T	97535	0
CPCT02010469T	105643	1
CPCT02190050T	7071	0
CPCT02050110T	20367	0
CPCT02010963TII	29529	4
CPCT02160018T	11865	0
DRUP01120002T	30196	4
CPCT02170018T	6449	0
CPCT02020482T	58638	0
CPCT02150047T	3714	0
CPCT02040278T	9878	0
CPCT02330092T	7608	0
CPCT02030245T	6850	0
CPCT02380036T	6618	0
WIDE01011011T	10657	3
CPCT02020589T	6738	0
CPCT02040037T	16994	1
CPCT02230085T	10039	0
CPCT02290056T	13813	0
CPCT02020380T	8042	0
CPCT02100057T	16709	1
WIDE01010410T	2433	0
CPCT02010273T	23331	0
CPCT02020561T	11643	0
GAYA01430001T	5916	0
CPCT02070485T	53732	4
CPCT02020265T	21956	0
CPCT02140029T	5822	0
CORE01070016T	14608	0
WIDE01010836T	16198	1
WIDE01010312T	104054	4
WIDE01010190T	3365	0
CPCT02040214T	57694	1
CPCT02080266T	8733	0
CPCT02010359TII	21958	0
WIDE01010649T	17418	1
CPCT02020802T	13847	0
WIDE01010794T	3105	0
CPCT02150018T	5925	0
CPCT02100026T	22198	0
CPCT02120179T	2663	0
CPCT02010337T	70856	3
CPCT02010801T	6743	0
CPCT02020821T	52102	0
CPCT02070144T	5076	0
CPCT02010267TII	18559	0
CPCT02050451T	13235	1
CPCT02010846T	20858	0
WIDE01010979T	22325	1
CPCT02120148T	17291	1
CPCT02060034T	1460	0
CPCT02110062T	34888	0
CPCT02060294T	7535	0
CPCT02020224TII	7031	0
CORE01080024T	15668	1
CPCT02100200T	8043	0
WIDE01010331T	2290	0
ACTN01020218T	10958	2
CPCT02210008T	27300	3
DRUP01230005T	67498	0
CPCT02130139T	10038	1
GAYA01010005T	11192	0
CPCT02170014T	4261	0
CPCT02010571T	2724	1
CPCT02100132T	7130	0
CPCT02340011T	7392	0
COREDB011267T	2292	1
DRUP01070009T	5403	0
CPCT02070032T	7223	0
CPCT02170002T	3093	0
CPCT02010674T	16582	1
CPCT02370036T	17715	1
CPCT02210018T	28035	2
CPCT02130014T	6636	0
CPCT02340019T	28825	1
CPCT02020902T	48023	1
CPCT02330073T	16277	0
CPCT02090019T	18018	0
CPCT02010547T	45317	0
CPCT02230097T	18578	1
CPCT02060247T	5473	0
CPCT02050443T	57012	1
WIDE01010702T	3410	0
CPCT02220076T	9286	0
GLOW01020005T	5119	0
WIDE01010323T	13004	0
CPCT02330084T	4941	1
CPCT02040224T	14963	0
DRUP01070046T	18811	0
GAYA01010010T	7446	0
CPCT02230053T	24737	0
CPCT02080066T	5350	0
CPCT02010706T	62822	0
CPCT02220020T	14456	1
CPCT02120189T	87121	0
CPCT02050352T	21912	1
WIDE01010474T	12724	0
CPCT02070230T	6029	0
WIDE01010871T	1976	0
CPCT02140087T	5802	0
CPCT02011093T	6824	0
CPCT02100163T	15887	0
CPCT02020434T	10315	0
WIDE01010907T	7489	0
ACTN01020124T	12254	0
CPCT02080095T	6486	0
CPCT02080025T	5875	0
DRUP01190008T	22444	0
CPCT02020536T	32080	0
WIDE01010471T	12785	0
CPCT02010623T	23333	0
CPCT02030224T	11183	0
CPCT02140054T	9298	0
CPCT02080181T	6290	0
DRUP01020132T	265	0
CPCT02020876T	7145	1
CPCT02460005T	7920	0
CPCT02070380T	73212	4
DRUP01050051T	3634	0
CPCT02020622T	39951	3
CPCT02020716T	6927	0
CPCT02100061T	23555	1
CPCT02050213T	5481	0
CPCT02020387T	108523	1
CPCT02180033T	26628	0
CPCT02050254T	7422	0
ACTN01020153T	13542	0
DRUP01080048T	1468	0
OPTC01030067T	17936	1
CPCT02080164T	11438	0
CPCT02160029T	3034	0
CPCT02070156T	23371	0
WIDE01010703T	2621	0
DRUP01030004T	18364	0
CPCT02050249T	22797	1
WIDE01010092T	2591	0
WIDE01010426T	7664	1
WIDE01011108T	8838	0
CPCT02220029T	72943	2
CPCT02330025T	17257	0
CPCT02070306T	12589	0
CPCT02020986T	84997	7
CPCT02020628T	9506	1
CPCT02030314T	5035	0
CPCT02020325T	3402	0
CPCT02080255T	27112	0
CPCT02020721T	4240	0
WIDE01010073T	11128	0
CPCT02021009T	23982	0
CPCT02020867T	29365	1
CPCT02060239T	12301	1
CPCT02040332T	41686	0
CPCT02080001T	3402	0
CPCT02440023T	11569	0
CPCT02120001T	50340	4
CPCT02060235T	3542	0
CPCT02330063T	27349	5
CPCT02030368T	9006	0
CPCT02220057T	148223	2
CPCT02340083T	99919	2
CPCT02020555T	63515	2
CPCT02070366T	2208	0
CPCT02020981T	3604	0
CPCT02140047T	17595	0
CPCT02100102T	3820	0
WIDE01010980T	5121	1
CPCT02010654T	62618	0
CPCT02040223T	8022	0
WIDE01010355T	24863	0
CPCT02020757T	23349	0
CPCT02210068T	8537	1
DRUP01050031T	44022	5
CPCT02090015T	25555	3
CPCT02050403T	21315	2
CPCT02330076T	263580	15
DRUP01050023T	12267	2
COREDB110017T	3516	0
CPCT02330149T	7656	0
CPCT02120195T	8443	0
CPCT02050291T	31873	0
CPCT02070406T	6029	0
WIDE01010937T	4199	0
CPCT02020232TII	9718	0
WIDE01011006T	3763	0
CPCT02040011T	7135	0
CPCT02260014T	52842	18
CPCT02370002T	15109	1
CPCT02020299T	69927	3
CPCT02180031T	21769	0
CPCT02070309T	3264	0
CPCT02020452T	30219	0
CPCT02010780T	140993	3
CPCT02050199T	25074	1
WIDE01010956T	17960	0
CPCT02130095T	41238	0
WIDE01011135T	9269	0
WIDE01010768T	14412	0
CPCT02020824T	9651	0
CPCT02100021T	5723	0
WIDE01010524T	13817	0
CPCT02300034T	7588	0
CPCT02020194T	3907	0
CPCT02130147T	10348	0
CPCT02030400T	9830	0
CORE01080016T	30913	1
WIDE01010510T	15242	0
CPCT02290023T	6441	0
CPCT02020483T	6206	0
CPCT02380010T	12572	0
CPCT02160003T	35010	1
CORE01080005T	63730	2
CPCT02300032T	8555	2
WIDE01010225T	7387	0
CPCT02020993T	6147	0
CPCT02010434T	8511	0
CPCT02020700T	67749	0
WIDE01010565T	12207	0
CPCT02150017T	13546	0
CPCT02040008T	9655	1
CPCT02070018T	9384	0
CPCT02050117T	4361	0
CPCT02100030T	16275	1
CPCT02010882T	135393	7
CPCT02021011T	51701	6
WIDE01010942T	20327	1
CPCT02060275T	3096	0
CPCT02020239T	6017	0
WIDE01011060T	23947	0
WIDE01010774T	32060	0
CPCT02230033T	4427	0
WIDE01010731T	31994	0
WIDE01010900T	8746	0
ACTN01020159T	1295	0
WIDE01010570T	17114	4
CPCT02040337T	9913	0
CPCT02070484T	6587	0
CPCT02060072T	16019	0
WIDE01010189T	42456	0
CPCT02030347T	421226	9
CPCT02050440T	44603	0
CPCT02020186TII	8957	1
CPCT02470001T	4432	0
CPCT02050195T	4419	0
CPCT02060197T	6248	0
CPCT02070106T	14098	0
CPCT02190023T	21557	0
CPCT02020171T	1956	0
CPCT02130056T	7818	0
CPCT02120055T	19241	0
CPCT02270001T	30254	1
CPCT02070043T	20977	1
WIDE01010236T	13764	0
CPCT02060081T	7767	0
CPCT02060006T	9087	0
CPCT02020688T	4772	0
WIDE01010215T	8051	0
WIDE01010025T	3177	0
CPCT02050055T	41941	1
CPCT02260021T	2671	0
CPCT02120199T	21352	0
COREDB011203T	1682	0
CPCT02100029T	9928	0
CPCT02100090T	7479	0
WIDE01010850T	23398	0
CPCT02080184T	7315	0
WIDE01010771T	31699	0
CPCT02020543T	6530	0
CPCT02020623T	45195	4
CPCT02070181T	3509	0
CPCT02230110T	13772	0
CPCT02020685T	10154	0
CPCT02080234T	349266	7
CPCT02020249T	24503	1
CPCT02020832T	12315	0
CPCT02340032T	7125	0
CPCT02040018T	12871	0
WIDE01010618T	7933	0
DRUP01070038T	50142	0
CPCT02070398T	8035	0
CPCT02080139T	920	1
ACTN01020144T	79122	1
CPCT02020597TIII	8639	0
CPCT02020970T	5307	0
CPCT02210031T	9524	0
DRUP01010407T	100853	4
CPCT02150038T	9749	0
CPCT02290050T	6508	0
CPCT02020952T	42921	0
CPCT02330021T	3364	0
DRUP01270003T	15744	0
DRUP01010268T	49016	1
WIDE01010470T	1656315	775
CPCT02080250T	8792	0
CPCT02290031T	4878	0
CPCT02160013T	12148	1
CPCT02040342T	9996	0
CPCT02140021T	7542	0
CPCT02040169T	36682	0
DRUP01050098T	2486	0
CPCT02010692TII	6288	0
CPCT02020358T	28499	0
CPCT02170031T	10400	0
WIDE01010027T	10202	0
CPCT02080230T	3366	0
WIDE01011046T	5588	0
DRUP01140001T	63287	1
CPCT02220071T	17929	0
CPCT02080141T	35590	6
DRUP01080012T	12750	0
CPCT02230003T	17772	0
CPCT02080304T	5152	0
CPCT02040264T	16192	0
WIDE01010018T	4995	0
CPCT02160014T	2815	0
CPCT02030461T	554850	12
CPCT02080196T	2204	0
CPCT02010635T	3654	0
WIDE01010520T	13328	0
CPCT02220059T	18116	0
CPCT02140055T	7952	0
CPCT02050109T	22953	0
CPCT02020744T	8077	0
CPCT02040216T	5578	0
CPCT02230126T	7665	0
WIDE01010299T	35606	0
CPCT02230035T	5632	0
CPCT02200005T	16173	0
CPCT02010867T	370461	29
CPCT02020308T	55365	1
CPCT02070402T	10545	0
DRUP01270001T	28398	0
WIDE01011005T	10391	0
WIDE01010732T	6276	0
CPCT02020653T	4829	0
CPCT02010466T	4636	0
ACTN01020045T	21575	0
CPCT02080073T	18715	1
CPCT02130156T	11561	0
CPCT02070466TII	8991	0
CPCT02010747T	8417	0
CPCT02230050T	28500	0
CPCT02160061T	5542	0
CPCT02010031T	2458	0
DRUP01060026T	8493	0
WIDE01010584T	5828	2
CPCT02120121T	3216	0
WIDE01010619T	13546	0
CPCT02011038T	4269	0
CPCT02320010T	3878	0
CPCT02120053T	104171	0
WIDE01010436T	13957	0
CPCT02050392T	4857	0
CPCT02080220T	18613	0
CPCT02020591T	2988	0
CPCT02070174TII	4155	0
WIDE01010675TII	11918	1
CPCT02010336T	28063	1
ACTN01020123T	74468	1
CPCT02020516T	11869	0
WIDE01011187T	11607	0
CPCT02040188T	14458	0
WIDE01010056T	5121	0
DRUP01080005T	89476	2
CPCT02060066T	2211	0
CPCT02020207T	23522	0
WIDE01010713T	6923	0
WIDE01010837T	19372	1
CPCT02030234T	19981	1
OPTC01080039T	28027	0
WIDE01010598T	8372	0
CPCT02080137T	17899	1
GAYA01080006T	3792	0
CPCT02120054T	12741	0
WIDE01010075T	48874	0
CPCT02110063T	7058	1
GAYA01010016T2	999	0
WIDE01010231T	16625	0
DRUP01050009T	27088	0
CPCT02120108T	87419	8
OPTC01080040T	21555	1
CPCT02010646T	10682	0
WIDE01010550T	3529	0
CPCT02011080T	2548	0
WIDE01010631T	41784	2
CPCT02040226T	21285	0
CPCT02080162T	213688	0
CPCT02390040T	5842	0
CPCT02130067T	11591	1
CPCT02110092T	12090	0
WIDE01010261T	10037	0
CPCT02010753T	25807	0
DRUP01010024T	3227	0
WIDE01010590T	40784	3
CPCT02290051T	3936	0
ACTN01020106T	9224	0
CPCT02060213T	15034	0
WIDE01010853T	49691	3
WIDE01010635T	8163	2
GAYA01020009T	8783	0
CPCT02440010T	41575	4
CPCT02050091T	5719	0
CPCT02011105T	23792	0
CPCT02340039T	7518	1
CPCT02011088T	76663	1
CPCT02140083T	4181	0
WIDE01011098T	3888	0
CPCT02190054T	14487	0
CPCT02020203T	7734	0
CPCT02010593T	10223	0
WIDE01010120T	2254	0
CPCT02130154T	1842	0
WIDE01010704T	27734	0
CPCT02010955T	22019	0
DRUP01010266T	7269	0
CPCT02050157T	12852	0
CPCT02070142T	6643	0
CPCT02070188T	14453	0
CPCT02020520T	243060	1
WIDE01010708T	7739	1
CPCT02130070T	15545	0
CPCT02120145T	17177	0
CPCT02010605T	12175	0
CPCT02460002T	34186	1
ACTN01020191T	7146	0
CPCT02020405T	6256	0
CPCT02030441T	6639	0
CPCT02011003T	16214	0
CPCT02010655T	4420	0
ACTN01020037T	10823	1
CPCT02040273T	5203	0
CPCT02130129T	3257	0
CPCT02100170T	5206	0
CPCT02010535T	3129	0
CPCT02030247T	34383	0
CPCT02070133T	5345	0
OPTC01070014T	31957	4
WIDE01010691T	27141	1
WIDE01010097T	10827	0
CPCT02011021T	14737	0
WIDE01010562T	26335	0
CPCT02020596T	7577	0
CPCT02020918TII	7755	0
CPCT02040035T	3364	0
CPCT02110047T	17229	0
CPCT02100205T	5450	0
WIDE01010578T	27266	0
CPCT02110080T	22453	0
CPCT02060191T	10240	0
WIDE01010264T	4554	0
CPCT02020872T	87335	1
CPCT02370025T	13108	0
CPCT02130087T	11847	0
CPCT02080110T	11188	0
WIDE01010397T	5404	1
CPCT02070383T	7028	0
CPCT02080225T	6995	0
CPCT02020946T	12014	0
CPCT02330125T	90939	0
WIDE01011029T	207235	12
CPCT02020775T	3665	0
WIDE01010872T	10629	1
CPCT02120005T	20375	0
GAYA01010019T	4375	0
CPCT02010760T	37199	5
WIDE01011191T	86275	9
DRUP01010092T	13705	2
CPCT02070055TII	15147	0
COREDB110015T	6641	0
CPCT02060265T	55112	1
CPCT02290054T	3725	0
CPCT02050359T	3534	0
CPCT02180023T	46848	1
COREDB110029T	25525	0
CPCT02350027T	16071	2
CPCT02020357T	13962	1
DRUP01070005T	9736	2
COREDB110018T	13483	0
CPCT02020333T	18200	3
OPTC01040023T	16921	0
DRUP01070159T	11170	1
CPCT02050075T	26301	0
CPCT02160020T	10287	0
CPCT02030323T	31659	4
DRUP01060045T	33694	3
CPCT02180030T	13965	0
GAYA01330003T	44569	4
CPCT02020767T	13081	0
CPCT02050358T	18314	0
WIDE01011231T	63182	2
CPCT02010857T	8528	0
ACTN01020002T	4592	0
CPCT02020765T	4851	0
WIDE01010175T	1626	0
CPCT02010299T	4569	1
CPCT02080157T	50139	0
CPCT02050027T	17156	0
OPTC01070010T	16775	1
DRUP01010157T	3036	0
CPCT02110069T	8801	0
CPCT02050286T	16285	0
WIDE01010648T	134393	1
CPCT02340040T	6226	0
CPCT02080156T	14355	0
CPCT02010738T	44635	1
CPCT02020344T	62859	2
WIDE01010535T	11673	1
CPCT02080125T	7802	0
CPCT02070145T	45947	0
CPCT02020306T	31379	0
CPCT02050142T	2054	0
CPCT02070177T	3368	0
CPCT02020959T	29806	0
CPCT02060112T	6139	0
CPCT02060251T	2218	0
CPCT02130190T	3045	0
CPCT02340050T	9726	1
WIDE01010003T	7309	0
WIDE01011111T	9787	1
DRUP01010023T	79799	2
CPCT02140081T	9013	0
CPCT02320005T	28373	2
ACTN01020212T	2917	0
CPCT02250011T	49899	0
DRUP01080014T	30831	0
CPCT02130140T	92697	8
DRUP01010135T	13299	1
CPCT02090064T	2247	0
CPCT02330009T	8990	0
CPCT02020790T	3895	0
CPCT02040282T	7391	0
WIDE01010310T	9137	0
CPCT02120057T	17835	0
CPCT02020947T	2783	1
CPCT02020718T	7926	0
CPCT02060269T	7285	0
CPCT02330098T	14633	0
CPCT02020829T	5519	0
DRUP01010070T	21878	5
CPCT02070310T	17879	1
CPCT02030326T	38773	5
DRUP01010040T	26008	0
CPCT02050096T	6853	0
CPCT02170007T	25021	4
CPCT02380019T	368104	6
WIDE01010478T	6033	0
CPCT02070274T	4006	0
GLOW01340005T	10345	0
CPCT02030246TII	4878	1
WIDE01010417T	13340	0
WIDE01010787T	785	0
CPCT02030265TII	71844	1
CPCT02090038T	3152	0
CPCT02020991T	33937	3
DRUP01340017T	215166	10
CPCT02230039T	108281	34
WIDE01010123T	37209	0
CPCT02160015T	8880	0
CPCT02070158T	6640	0
CPCT02120020T	21300	0
DRUP01070071T	10813	0
CPCT02140040T	8909	1
CPCT02020191T	8957	1
ACTN01020157T	2594	0
CPCT02040097T	14827	0
CPCT02080283T	37165	3
CPCT02020759T	16045	0
CPCT02020202T	4703	0
CPCT02020449T	6149	0
CPCT02230077T	32293	1
CPCT02050342TII	11114	1
DRUP01070059T	9107	0
CPCT02040307T	4469	0
CPCT02020934T	186360	2
CPCT02140023T	4101	1
CPCT02010484T	17442	1
CPCT02050118T	15339	0
CPCT02020376T	4145	0
CPCT02130180T	9031	0
CPCT02011053T	34691	0
GAYA01080001T	1919	1
WIDE01010439T	5745	0
CPCT02080002T	4127	0
CPCT02110020T	3811	0
CPCT02060138T	7181	0
CPCT02050349T	84657	0
CPCT02070229T	5253	0
CPCT02010471T	13084	0
CPCT02220014T	8506	0
CPCT02030265T	31020	2
CPCT02360017T	6352	0
CPCT02100186T	18933	0
CPCT02240007TII	14219	0
CPCT02060168T	3882	0
CPCT02100172T	6921	0
GAYA01080004T	2301	0
CPCT02030286T	21789	1
CPCT02010925T	80143	0
WIDE01011122T	10616	1
CPCT02010645T	2924	0
DRUP01010016T	25653	0
CPCT02020267T	136	0
CPCT02130134T	6327	1
CPCT02210056T	3907	0
CPCT02020545T	10415	0
WIDE01011155T	6201	0
CPCT02330041T	33192	3
CPCT02040091T	16350	0
WIDE01010670T	2815	0
CPCT02020192T	22617	0
WIDE01010157T	55602	0
CPCT02060245T	5465	2
CPCT02080259T	55813	0
DRUP01070036T	7297	1
CPCT02100135T	3741	0
CPCT02010369T	8148	0
CPCT02050113T	10293	0
WIDE01011200T	20624	0
CPCT02050034T	10302	0
CPCT02020582T	2759	0
WIDE01010683T	11421	0
CPCT02020542T	8282	3
CPCT02040108T	16950	0
DRUP01140005T	8547	0
WIDE01011125T	13137	0
CPCT02020403T	16139	0
CPCT02011009T	10251	0
CPCT02010990T	6683	0
CPCT02011025T	51479	0
CPCT02050411T	112430	0
CPCT02060150T	5205	0
CPCT02270045T	13937	0
DRUP01070028TII	4566	0
CPCT02270043T	25512	0
CPCT02020691T	9853	0
CPCT02030528T	33129	0
WIDE01010568T	4635	0
CPCT02230043T	7599	0
CPCT02440021T	4066	0
CPCT02080239T	47307	0
CPCT02050202T	4865	0
CPCT02070409T	3780	0
CPCT02130046T	20972	3
CPCT02050315T	17881	1
CPCT02050317T	3500	0
CPCT02070294T	4662	0
WIDE01011204T	7791	3
CPCT02110056T	21811	1
DRUP01030012T	35319	1
CPCT02011035T	20427	1
CPCT02110050T	38092	3
WIDE01010820T	23009	0
CPCT02070386T	28564	0
CPCT02030381T	7667	1
ACTN01020256T	28744	0
CPCT02150048T	29673	1
CPCT02050063T	3742	0
CPCT02230059T	5434	0
CPCT02070364T	4621	0
CPCT02030464T	10783	0
WIDE01011127T	5414	0
CPCT02030537T	6865	0
CPCT02440020T	19653	2
CPCT02150016T	8114	0
CPCT02210023T	65515	4
DRUP01010072T	17691	0
CPCT02080170T	7070	1
CPCT02270035T	3510	0
CPCT02030483T	7742	1
CPCT02010993T	4716	0
CPCT02140086T	4118	0
WIDE01010860T	13586	0
CPCT02110008T	19907	0
WIDE01010910T	7225	0
CPCT02170032T	3715	0
CPCT02100095T	5645	1
CPCT02020979T	7989	0
CPCT02060063T	16794	0
CPCT02130200T	4286	0
CPCT02010473T	12220	1
CPCT02020378T	6802	0
CPCT02010765T	7537	0
CPCT02130006T	12476	0
CPCT02380035T	44313	0
CPCT02040186T	60890	3
WIDE01011169T	8392	0
CPCT02070130T	5189	0
CPCT02180007T	47455	2
CPCT02050289T	21562	0
CPCT02230113T	5219	0
CPCT02010944T	17319	0
CPCT02300033T	15092	0
CPCT02080286T	4052	0
CPCT02020459T	15061	0
CPCT02050176T	10964	0
WIDE01010810T	11291	6
CPCT02120070T	35771	2
CPCT02040316T	4440	0
CPCT02020494T	3924	0
CPCT02050175T	15697	0
CPCT02050073T	22984	4
CPCT02010878TII	57469	5
CPCT02130152T	2672	0
CPCT02080131T	13094	1
DRUP01220004T	27928	1
DRUP01070051T	3607	0
CPCT02010313T	722	0
CPCT02380047T	17027	0
CPCT02020218T	21876	0
OPTC01030069T	28046	1
DRUP01070042T	45392	0
WIDE01010689T	12733	0
CPCT02020839T	3141	0
CPCT02070480T	9151	0
WIDE01010456T	20480	0
ACTN01020034T	37855	0
WIDE01010861T	4382	0
CPCT02210048T	13689	0
CPCT02130159T	7488	0
CPCT02340057T	18699	0
CPCT02010490T	7119	0
ACTN01020167T	3259	0
CPCT02010978T	7320	0
CPCT02290017T	11382	0
WIDE01010185T	12647	0
WIDE01010941T	2414	0
CPCT02080006T	3830	0
CPCT02020429T	32773	0
CPCT02160038T	18915	0
CPCT02060042T	3140	0
CPCT02060142T	6830	0
CPCT02180041T	7214	0
ACTN01020032T	57421	1
CPCT02230098T	17357	0
CPCT02030397T	5535	0
CPCT02150002T	5403	0
CPCT02180001T	27364	3
CPCT02110078T	13121	0
WIDE01010043T	3833	0
WIDE01010182T	10373	0
CPCT02040221T	24716	0
CPCT02030337TII	32041	1
COREDB110027T	13040	0
CPCT02010958T	12692	1
CPCT02060075T	9510	0
CPCT02010534T	2447	0
CPCT02170036T	9544	0
CPCT02010988T	3966	0
CPCT02060255T	36042	8
CPCT02050144T	31847	1
CPCT02080191T	18942	0
CPCT02020279T	13372	0
WIDE01010806T	21358	1
CPCT02090021T	7788	1
CPCT02040142T	3324	0
CPCT02130034T	12615	0
CPCT02020683T	8323	0
CPCT02010386T	12153	2
CPCT02010506T	11392	1
CPCT02390011T	13662	0
OPTC01040028T	18851	0
WIDE01010611T	6356	0
WIDE01010060T	12002	0
CPCT02030380T	10689	0
CPCT02240012T	18986	0
CPCT02010555T	9762	0
WIDE01010328T	40678	1
CPCT02120096T	9107	2
CPCT02010889T	5173	0
CPCT02020940T	3814	0
WIDE01010841T	65090	1
CPCT02050447T	5549	0
CPCT02020389T	5456	0
CPCT02030414T	15923	0
WIDE01010932T	9220	2
CPCT02050166T	5608	0
CPCT02120011T	21534	1
DRUP01080031T	57171	0
CPCT02070066T	31308	0
WIDE01011088T	3209	0
DRUP01330016T	26188	0
DRUP01070022T	7253	0
CPCT02030343T	7750	0
CPCT02030349T	57112	0
CPCT02080128T	16502	0
CPCT02270009T	5969	0
CPCT02100042T	30450	0
CPCT02190009T	6719	0
CPCT02120149T	8663	1
OPTC01040031T	25470	1
CPCT02270008T	7100	0
CPCT02070388T	7128	0
CPCT02010722TII	73469	3
CPCT02010376T	1705	0
CPCT02050039T	2474	0
CPCT02320001T	50471	12
WIDE01010523T	91779	1
DRUP01030018T	157125	3
CPCT02050147T	31739	3
CPCT02050402T	25837	0
CPCT02100101T	14134	0
CPCT02020770T	171416	0
CPCT02210075T	3066	0
CPCT02360008T	2997	0
CPCT02290021T	14711	0
CPCT02130125T	7467	0
DRUP01070031T	3629	0
DRUP01010096T	161011	15
CPCT02030487T	6893	0
WIDE01010548T	8998	0
CPCT02010963T	20866	3
DRUP01060019T	25837	3
CPCT02130027T	6448	0
CPCT02440017T	5749	0
CPCT02390034T	27006	0
DRUP01010249T	20974	0
CPCT02040291T	3126	0
CPCT02030354T	5702	0
CPCT02010600T	2946	1
CPCT02230024T	13328	0
CPCT02030435T	27636	1
CPCT02380051T	1552	0
CPCT02020840T	17136	0
DRUP01020165T	5801	0
CPCT02010919T	1443	0
CPCT02130051T	9681	0
WIDE01010543T	13390	1
CPCT02020670T	293656	1
CPCT02010915T	17054	2
OPTC01030059T	13947	0
CPCT02060200T	27216	0
WIDE01010544T	12666	0
CPCT02060268T	2956	0
CPCT02010356T	14056	0
CPCT02160049T	17530	1
CORE01080015T	7029	0
OMIC01130109T	8156	1
CPCT02020409T	16012	0
CPCT02050264T	6236	1
ACTN01020247T	11138	2
GAYA01280005T	25661	2
CPCT02020503T	11476	0
CPCT02150043T	3837	0
WIDE01010122T	72871	0
WIDE01010371T	9350	0
CPCT02190007T	25588	3
CPCT02120204T	60291	4
CPCT02010658T	9125	0
DRUP01020004T	2405	0
CPCT02020789T	118427	1
DRUP01010320T	13170	3
WIDE01010918T	5441	0
CPCT02330053T	18892	0
CPCT02430002T	9277	0
CPCT02340090T	10434	0
CPCT02020417T	20248	0
WIDE01010790T	8078	0
CPCT02070036T	10560	1
CPCT02160007T	7631	1
CPCT02020673T	12334	0
CPCT02070352T	4466	0
CPCT02030350T	5902	3
CPCT02010227T	2427	0
WIDE01010927T	9519	0
CPCT02080033T	5291	0
CPCT02310005T	12508	0
CPCT02080200T	6044	0
CPCT02190039T	35785	3
CPCT02060089T	5573	0
CPCT02050312T	4646	0
CPCT02010904T	25942	0
CPCT02230034T	22244	1
CPCT02010984T	44246	2
ACTN01020060T	38568	1
CPCT02390007T	15021	0
OPTC01040033T	33101	0
CPCT02040062T	12850	0
CPCT02130091T	268241	23
CPCT02040031T	9576	0
WIDE01011163T	47842	2
WIDE01010923T	2997	0
WIDE01011139T	73223	0
WIDE01010682TII	228069	3
CPCT02010933T	10718	0
CPCT02030332T	8653	0
CPCT02040021T	29534	0
CPCT02030306T	20310	0
CPCT02080030T	80313	3
CPCT02390001TII	17758	0
CPCT02370031T	20393	0
CPCT02180043T	10515	0
WIDE01010493T	2992	0
CPCT02080126T	16835	0
DRUP01010126T	43082	8
ACTN01020177T	25580	1
WIDE01011045T	1586	0
CPCT02070348T	10890	2
CPCT02080240T	15491	0
CPCT02270049T	13544	0
OPTC01030064T	27118	4
CPCT02050051T	7029	0
WIDE01010997T	4036	0
CPCT02030505T	8630	0
WIDE01010877T	107819	4
CPCT02160059T	16701	0
CPCT02010632T	2263	0
OPTC01030050T	13424	0
WIDE01010454T	32241	1
WIDE01010816T	18205	0
CPCT02030302T	8743	0
ACTN01020022T	32160	0
WIDE01011207T	163742	6
CPCT02070256T	9578	0
