s,efr,repair,duplex rate,r-u,MRCA 0,MRCA 1,MRCA 2,MRCA 3,MRCA 4,MRCA 5-300,egfr_c3h_sd_mse,braf_c3h_sd_mse,hras1_c3h_sd_mse,hras0_c3h_sd_mse,MRCA 0 all 4,MRCA 1 all 4,MRCA 2 all 4,MRCA 3 all 4
0.3,0.05,0.6,0.55,0.05,0.14221245082156908,0.22228650775283498,0.17048522718506517,0.1261282110622541,0.09546401295996297,0.24342359021831367,0.09951477281493484,0.1291411814338503,0.06221245082156908,0.0,0.09655546514781665,0.09803921568627451,0.10882352941176471,0.10611620795107034
0.3,0.05,0.7,0.45,0.25,0.145336755897812,0.22057205720572057,0.16905023835716906,0.1266348857107933,0.09130913091309131,0.24709693191541376,0.10094976164283095,0.13374962858621192,0.065336755897812,0.0,0.09293523969722456,0.09642560266001662,0.09942154736080984,0.10521235521235521
0.3,0.05,0.7,0.55,0.15,0.15980801706514977,0.2186472313572127,0.16611856723846768,0.12416674073415697,0.08950315527508666,0.24175628832992624,0.10388143276153233,0.1397487206995441,0.07981948114885329,0.0,0.09621802002224694,0.0975609756097561,0.10246120920278223,0.10486757337151038
0.3,0.05,0.7,0.65,0.05,0.17299080839028988,0.21639002053802903,0.16309215177940137,0.12221810713443992,0.09046833439951517,0.23484057775832465,0.10769423900001236,0.14613015905730578,0.09306085319185216,0.0,0.0990657843518879,0.09864633577096624,0.10631709331131296,0.10275482093663912
0.3,0.05,0.8,0.25,0.55,0.13106707871296128,0.22995818942010543,0.16287947645882567,0.12997636793310308,0.10179967278676605,0.2443192146882385,0.10712052354117435,0.1211053953454646,0.051067078712961275,0.0,0.12343966712898752,0.108300395256917,0.11049107142857142,0.11608391608391608
0.3,0.05,0.8,0.35,0.45,0.15669700910273082,0.22280017338534894,0.1623320329432163,0.12397052449068054,0.09547030775899437,0.23872995231902905,0.10766796705678372,0.134577193527056,0.07669700910273082,0.0,0.11065006915629322,0.10408560311284047,0.11415220293724966,0.1048951048951049
0.3,0.05,0.8,0.45,0.35,0.17322604242867592,0.21623994147768838,0.16722750548646673,0.12026335040234089,0.08858814923189466,0.23445501097293342,0.10362004548763412,0.14552202104604137,0.09330183828309328,0.0,0.09586148648648649,0.09776725304465494,0.0984251968503937,0.09428223844282238
0.3,0.05,0.8,0.55,0.25,0.18452877397831527,0.21090492076730608,0.1643557130942452,0.11999582985821518,0.08543577981651376,0.2347789824854045,0.10845448865171378,0.1565113152320691,0.10492371064568151,0.0,0.09717514124293786,0.0986159169550173,0.09863621947351729,0.09904430929626412
0.3,0.05,0.8,0.65,0.15,0.19409462548920836,0.21122176153756733,0.1613128221025303,0.1183012360987329,0.0848606967101949,0.2302088580617662,0.11390937681580741,0.16128322858349553,0.11443181828506462,0.0,0.09922140147734079,0.10034855989726656,0.10353110737448955,0.10055682934818212
0.3,0.05,0.8,0.75,0.05,0.20478366030636924,0.21027800173191197,0.15832064259906237,0.11717280300994357,0.08507271044223476,0.22437218191047806,0.12032395896047736,0.16788888524885495,0.12516181178690272,0.0,0.09930008748906387,0.10096563476285146,0.1069407770652584,0.10066258919469928
0.3,0.15,0.7,0.55,0.15,0.15509280635331055,0.2118847539015606,0.16852895004155508,0.12591190322282758,0.09003601440576231,0.24854557207498384,0.10147104995844494,0.14520840648970895,0.07553003895970155,0.0,0.09109854123250967,0.09806057964698191,0.10219178082191781,0.11221122112211221
0.3,0.15,0.7,0.65,0.05,0.1696708599000517,0.21047733930725487,0.16401861106324314,0.1243839393417198,0.09047044632086852,0.24097880406686198,0.10642170987242482,0.1507849668864228,0.09017507516982647,0.0,0.0952671135486492,0.09890289831341084,0.10464383273797016,0.1083402604599612
0.3,0.15,0.8,0.35,0.45,0.1484375,0.21978400735294118,0.16773897058823528,0.12339154411764706,0.09524356617647059,0.24540441176470587,0.10226102941176474,0.13502398711800803,0.06843784084169797,0.0,0.1130030959752322,0.10768426555148981,0.1095890410958904,0.09869646182495345
0.3,0.15,0.8,0.45,0.35,0.1641493521429119,0.21007436939354443,0.1696695545503335,0.12175113087479875,0.09254005980219275,0.24181553323621865,0.1004162108791922,0.14770327636481323,0.0847327068433884,0.0,0.08547407753386269,0.09416058394160584,0.09353818346136467,0.0982367758186398
0.3,0.15,0.8,0.55,0.25,0.17768059604794298,0.20634920634920634,0.16558686966850233,0.12109923334413131,0.0876255264010366,0.24165856818918044,0.10589950548625267,0.1581207443205993,0.09862982820413894,0.0,0.09267699787298693,0.09837781266352695,0.09455493968046952,0.09986625055728934
0.3,0.15,0.8,0.65,0.15,0.1881007228532846,0.2078004607196759,0.16327746445309396,0.11978711573595996,0.0861069187385813,0.23492731749940424,0.11036009341441198,0.1610701479256475,0.10878692494989836,0.0,0.09480574324324324,0.10015290519877676,0.10094867428849429,0.10377984084880637
0.3,0.15,0.8,0.75,0.05,0.2011913040849031,0.2066035739122547,0.15988873098902429,0.11813261572884226,0.08611253892903577,0.2280712363559399,0.11756366400985646,0.16864100284276912,0.12192947312985435,0.0,0.0985873159002104,0.10185862725010976,0.10457639939485627,0.10238034297414897
0.3,0.25,0.7,0.65,0.05,0.1647108723314011,0.20730241764456384,0.16580658843489327,0.12515905556341014,0.09133323907818465,0.245687826947547,0.10429985298023425,0.1522585671991194,0.08565722671683938,0.0,0.09570815450643777,0.09497016197783462,0.09784694095075677,0.10872634848912736
0.3,0.25,0.8,0.35,0.45,0.13853404440034728,0.21902517673322586,0.16916780354706684,0.12761999255860101,0.09611807019719708,0.24953491256356194,0.10083219645293318,0.13349364357109653,0.05854216116836882,0.0,0.10564010743061773,0.11325028312570781,0.11363636363636363,0.09718172983479106
0.3,0.25,0.8,0.55,0.25,0.16820069592546863,0.20512964418004265,0.1658435290156022,0.1238635088113144,0.08901111235828937,0.24795150970928276,0.10447881058657636,0.1565614583849487,0.08944545960499681,0.0,0.09442776109442776,0.09685362517099863,0.09170896785109983,0.09922972360670594
0.3,0.25,0.8,0.65,0.15,0.18192210337225442,0.20539724014044256,0.16236629378623335,0.12300971666530579,0.0868784192047032,0.24042622683106066,0.10984349470758495,0.1612402439341816,0.10296288530990387,0.0,0.09649910233393177,0.09898628503279666,0.09831531305003771,0.10487885828078328
0.3,0.25,0.8,0.75,0.05,0.1967872719454512,0.20437373303028442,0.15959211253762517,0.12018551508077892,0.08710608759751827,0.23195527980834205,0.11637527654572087,0.1685139334974745,0.11782804041428169,0.0,0.09817387232714218,0.10009017132551848,0.10354118552732872,0.10656785075389727
0.3,0.35,0.7,0.65,0.05,0.15647977102302182,0.2049840460874581,0.16726417780763306,0.12776272844761494,0.09430697226136671,0.24920230437290536,0.10273582219236696,0.1515061257869415,0.0779399400027831,0.0,0.08562362932201018,0.09902400797891288,0.10467958791688493,0.10435478340381758
0.3,0.35,0.8,0.55,0.25,0.15775766423357665,0.2079065693430657,0.1674861313868613,0.1281051094890511,0.09233284671532847,0.2464116788321168,0.10251386861313871,0.14857127455891653,0.07869247366880598,0.0,0.08454249333728162,0.0995393775980227,0.10243358203751482,0.10119427477436412
0.3,0.35,0.8,0.65,0.15,0.1743331655762456,0.20669350780070458,0.16443549739976515,0.12460157691662473,0.09018621036738803,0.23975004193927194,0.10653311149436623,0.1554800800603139,0.09526703974767599,0.0,0.088770207852194,0.10137164191218245,0.10329524586819017,0.09976438909458095
0.3,0.35,0.8,0.75,0.05,0.1903848083483845,0.20517258679510336,0.16090332129239415,0.1216385711418824,0.08868277142283765,0.23321794099939797,0.11324893767006664,0.164137779095792,0.11137620076326145,0.0,0.09048685684168918,0.10178505929820271,0.10379233737381612,0.10177356155908435
0.4,0.05,0.5,0.45,0.05,0.15268300870618629,0.3030161498660867,0.2019280590240022,0.1301038466310051,0.08004145107969846,0.13222748469302117,0.06807194097599781,0.06494313470899793,0.07268300870618628,0.0,0.1619348054679285,0.1700785125957324,0.18044813877846042,0.18375588961184652
0.4,0.05,0.6,0.35,0.25,0.14398666349130745,0.3083829483210288,0.20472731602762562,0.12864967849487974,0.08298404381995714,0.13126934984520125,0.0652726839723744,0.05522242048874313,0.06398666349130745,0.0,0.16564670856764804,0.17043787165032048,0.18391205723259466,0.18706034801925212
